Attribute,Cluster ID
imm_2_denominator,0
tob_2_numerator,0
hbips_2_overall_num,0
hbips_3_overall_num,1
hcp_denominator,1
tob_1_denominator,1
imm_2_numerator,1
sub_1_numerator,1
sub_1_denominator,1
tob_1_numerator,1
hbips_6_overall_den,1
hbips_2_overall_rate_per_1000,1
hbips_7_overall_den,1
hbips_7_overall_num,2
fuh_measure_description,3
hbips_6_overall_percentage_of_total,4
hbips_3_overall_den,4
fuh_7_percentage,4
hbips_7_overall_percentage_of_total,4
imm_2_percentage,4
hbips_2_overall_den,4
fuh_7_numerator,4
tob_2_2a_denominator,4
tob_2_2a__denominator,4
city,4
hbips_5_overall_num,4
tob_2_percentage,4
fuh_30_percentage,4
country_name,4
fuh_7_denominator,4
sub_1_percentage,4
fuh_30_numerator,4
tob_1_percentage,4
tob_2a_numerator,4
hbips_5_overall_den,4
fuh_30_denominator,4
tob_2a_percentage,4
hbips_6_overall_num,5
hcp_numerator,5
ehr_use_measure_description,7
hbips_5_measure_description,7
imm_2_measure_description,7
tob_2_2a_measure_desc,7
hbips_5_overall_percentage_of_total,7
hospital_name,7
hbips_2_measure_description,7
ehr_use_response,7
hbips_3_measure_description,7
hcp_measure_description,7
sub_1_measure_description,7
sub_1_measure_description,7
start_date,7
start_date,7
start_date,7
start_date,7
start_date,7
start_date,7
end_date,7
end_date,7
end_date,7
end_date,7
end_date,7
end_date,7
hbips_6_measure_description,7
flu_season_start_date,7
flu_season_start_date,7
flu_season_start_date,7
flu_season_start_date,7
flu_season_start_date,7
flu_season_start_date,7
fuh_measure_start_date,7
fuh_measure_start_date,7
fuh_measure_start_date,7
fuh_measure_start_date,7
fuh_measure_start_date,7
fuh_measure_start_date,7
hie_measure_description,7
fuh_measure_end_date,7
fuh_measure_end_date,7
fuh_measure_end_date,7
fuh_measure_end_date,7
fuh_measure_end_date,7
fuh_measure_end_date,7
flu_season_end_date,7
flu_season_end_date,7
flu_season_end_date,7
flu_season_end_date,7
flu_season_end_date,7
flu_season_end_date,7
hbips_7_measure_description,7
peoc_measure_description,7
tob_1_measure_description,7
tob_1_measure_description,7
address,7
state,8
hbips_3_overall_rate_per_1000,8
hie_response,8
hcp_percentage,8
peoc_assessed_response,8
hcp_footnote,12
peoc_assessed_footnote,12
peoc_assessed_footnote,12
peoc_assessed_footnote,12
hbips_6_overall_footnote,12
hbips_5_overall_footnote,12
hbips_3_overall_footnote,12
tob_2_footnote,12
ehr_use_footnote,12
ehr_use_footnote,12
ehr_use_footnote,12
tob_1_footnote,12
tob_2a_footnote,12
imm_2_footnote,12
hbips_7_overall_footnote,12
fuh_30_footnote,12
hbips_2_overall_footnote,12
sub_1_footnote,12
fuh_7_footnote,12
hie_footnote,12
hie_footnote,12
hie_footnote,12
zip_code,14
provider_number,14
