Attribute,Cluster ID
state,0
hie_response,0
hcp_footnote,3
hbips_5_overall_footnote,3
hbips_3_overall_footnote,3
tob_2_footnote,3
tob_1_footnote,3
tob_2a_footnote,3
imm_2_footnote,3
hbips_7_overall_footnote,3
fuh_30_footnote,3
hbips_2_overall_footnote,3
sub_1_footnote,3
fuh_7_footnote,3
zip_code,5
hbips_6_overall_num,8
hcp_denominator,8
hbips_7_overall_num,8
hcp_numerator,8
hbips_6_overall_den,8
hbips_3_overall_rate_per_1000,9
hcp_percentage,9
peoc_assessed_response,9
provider_number,12
hbips_3_overall_num,14
tob_1_denominator,14
imm_2_numerator,14
sub_1_numerator,14
tob_1_numerator,14
hbips_2_overall_rate_per_1000,14
hbips_7_overall_den,14
fuh_7_numerator,16
tob_2_2a__denominator,16
tob_2a_numerator,16
fuh_7_denominator,17
peoc_assessed_footnote,19
peoc_assessed_footnote,19
peoc_assessed_footnote,19
hbips_6_overall_footnote,19
ehr_use_footnote,19
ehr_use_footnote,19
ehr_use_footnote,19
hie_footnote,19
hie_footnote,19
hie_footnote,19
imm_2_denominator,22
sub_1_denominator,22
hbips_3_overall_den,23
hbips_2_overall_den,23
tob_2_2a_denominator,23
tob_2_numerator,23
hbips_2_overall_num,23
fuh_30_numerator,23
fuh_30_denominator,23
tob_2_percentage,25
fuh_30_percentage,25
tob_2_2a_measure_desc,26
hie_measure_description,27
country_name,28
hbips_6_overall_percentage_of_total,30
hbips_7_overall_percentage_of_total,30
imm_2_percentage,30
sub_1_percentage,30
tob_1_percentage,30
hbips_3_measure_description,31
address,31
ehr_use_measure_description,32
hbips_2_measure_description,32
peoc_measure_description,32
hcp_measure_description,33
hbips_6_measure_description,33
fuh_7_percentage,35
city,35
hbips_5_overall_num,35
hbips_5_overall_den,35
tob_2a_percentage,35
start_date,37
start_date,37
start_date,37
start_date,37
start_date,37
start_date,37
end_date,37
end_date,37
end_date,37
end_date,37
end_date,37
end_date,37
flu_season_start_date,37
flu_season_start_date,37
flu_season_start_date,37
flu_season_start_date,37
flu_season_start_date,37
flu_season_start_date,37
fuh_measure_start_date,37
fuh_measure_start_date,37
fuh_measure_start_date,37
fuh_measure_start_date,37
fuh_measure_start_date,37
fuh_measure_start_date,37
fuh_measure_end_date,37
fuh_measure_end_date,37
fuh_measure_end_date,37
fuh_measure_end_date,37
fuh_measure_end_date,37
fuh_measure_end_date,37
flu_season_end_date,37
flu_season_end_date,37
flu_season_end_date,37
flu_season_end_date,37
flu_season_end_date,37
flu_season_end_date,37
ehr_use_response,38
sub_1_measure_description,38
sub_1_measure_description,38
tob_1_measure_description,38
tob_1_measure_description,38
imm_2_measure_description,39
hospital_name,39
hbips_5_measure_description,41
hbips_7_measure_description,41
hbips_5_overall_percentage_of_total,43
fuh_measure_description,47
