Attribute,Cluster ID
hcp_footnote,0
hbips_6_overall_num,0
hbips_6_overall_percentage_of_total,0
ehr_use_measure_description,0
hbips_3_overall_den,0
hbips_5_measure_description,0
hbips_3_overall_num,0
hcp_denominator,0
fuh_7_percentage,0
hbips_7_overall_percentage_of_total,0
imm_2_percentage,0
imm_2_denominator,0
peoc_assessed_footnote,0
tob_1_denominator,0
hbips_6_overall_footnote,0
tob_2_2a_measure_desc,0
hbips_5_overall_percentage_of_total,0
hospital_name,0
hbips_7_overall_num,0
imm_2_numerator,0
hbips_5_overall_footnote,0
hbips_2_overall_den,0
imm_2_measure_description,0
tob_2_footnote,0
hbips_2_measure_description,0
ehr_use_response,0
fuh_7_numerator,0
hbips_3_measure_description,0
tob_2_2a_denominator,0
state,0
tob_2_numerator,0
sub_1_numerator,0
hcp_measure_description,0
sub_1_measure_description,0
tob_2_2a__denominator,0
start_date,0
hbips_3_overall_rate_per_1000,0
zip_code,0
hie_response,0
hcp_percentage,0
fuh_measure_description,0
end_date,0
city,0
hbips_5_overall_num,0
hbips_2_overall_num,0
ehr_use_footnote,0
tob_2_percentage,0
tob_1_footnote,0
hbips_6_measure_description,0
fuh_30_percentage,0
country_name,0
fuh_7_denominator,0
hcp_numerator,0
sub_1_percentage,0
flu_season_start_date,0
fuh_30_numerator,0
fuh_measure_start_date,0
tob_2a_footnote,0
hie_measure_description,0
fuh_measure_end_date,0
tob_1_percentage,0
flu_season_end_date,0
hbips_7_measure_description,0
peoc_measure_description,0
sub_1_denominator,0
tob_2a_numerator,0
tob_1_numerator,0
imm_2_footnote,0
tob_1_measure_description,0
hbips_5_overall_den,0
provider_number,0
hbips_7_overall_footnote,0
hbips_3_overall_footnote,0
hbips_6_overall_den,0
fuh_30_footnote,0
hbips_2_overall_footnote,0
sub_1_footnote,0
hbips_2_overall_rate_per_1000,0
fuh_7_footnote,0
hie_footnote,0
hbips_7_overall_den,0
fuh_30_denominator,0
peoc_assessed_response,0
address,0
tob_2a_percentage,0
