Attribute,Cluster ID
s_hbips_7_measure_description,0
s_hbips_5_measure_description,2
s_fuh_measure_description,4
tob_2_2a_measure_desc,8
s_peoc_measure_description,8
s_hbips_2_measure_description,8
s_hcp_measure_description,8
s_ehr_use_measure_description,8
s_hbips_6_measure_description,8
s_hie_measure_description,8
s_ehr_certified_count,10
s_hie_yes_count,10
s_hie_no_count,10
s_flu_season_start_date,11
s_tob_2_percentage,11
s_tob_1_measure_description,11
s_sub_1_numerator,11
s_hbips_2_overall_rate_per_1000,11
s_ehr_certified_percentage,11
s_tob_2_2a__denominator,11
s_ehr_paper_percentage,11
s_flu_season_end_date,11
s_hbips_3_overall_rate_per_1000,11
s_tob_2a_percentage,11
s_tob_1_numerator,11
s_tob_2a_numerator,11
s_hbips_3_overall_den,11
s_hbips_5_overall_num,11
s_hbips_3_overall_num,11
s_imm_2_percentage,11
s_fuh_measure_start_date,11
s_hcp_denominator,11
s_hie_no_percent,11
s_hbips_5_overall_den,11
s_hcp_numerator,11
s_imm_2_denominator,11
s_fuh_7_percentage,11
s_tob_1_percentage,11
state,11
s_hbips_2_overall_num,11
s_hbips_7_overall_percentage_of_total,11
s_hcp_percentage,11
s_hbips_7_overall_den,11
s_hbips_5_overall_percentage_of_total,11
s_sub_1_measure_description,11
s_fuh_7_numerator,11
s_hbips_2_overall_den,11
end_date,11
s_peoc_no_percentage,11
s_fuh_30_numerator,11
s_sub_1_denominator,11
s_hbips_6_overall_num,11
s_sub_1_percentage,11
s_hbips_6_overall_den,11
s_tob_2_2a_denominator,11
s_hbips_3_measure_description,11
s_fuh_7_denominator,11
s_hie_yes_percent,11
s_tob_1_denominator,11
s_ehr_non_certified_percentage,11
s_imm_2_numerator,11
s_hbips_6_overall_percentage_of_total,11
start_date,11
s_fuh_measure_end_date,11
s_imm_2_measure_description,11
s_peoc_yes_percentage,11
s_hbips_7_overall_num,11
s_fuh_30_denominator,11
s_tob_2_numerator,11
s_fuh_30_percentage,11
s_peoc_no_count,12
s_ehr_non_certified_count,12
s_peoc_yes_count,13
s_ehr_paper_count,13
