Attribute,Cluster ID
zip_code,0
provider_number,0
hbips_3_overall_num,2
hcp_denominator,2
hbips_2_overall_num,2
hcp_numerator,2
hbips_6_overall_den,2
hbips_7_overall_den,2
imm_2_denominator,3
tob_1_denominator,3
tob_1_numerator,3
tob_2_2a_denominator,4
tob_2_2a__denominator,4
hbips_2_overall_den,5
hbips_3_overall_den,6
hbips_6_overall_num,9
hbips_7_overall_num,9
imm_2_numerator,9
sub_1_numerator,9
sub_1_denominator,9
hcp_percentage,10
fuh_7_numerator,13
fuh_7_denominator,13
fuh_30_numerator,13
fuh_30_denominator,13
tob_2_numerator,14
hbips_5_overall_num,14
tob_2a_numerator,14
hbips_5_overall_den,14
hcp_footnote,15
peoc_assessed_footnote,15
peoc_assessed_footnote,15
peoc_assessed_footnote,15
hbips_6_overall_footnote,15
hbips_5_overall_footnote,15
hbips_3_overall_footnote,15
tob_2_footnote,15
ehr_use_footnote,15
ehr_use_footnote,15
ehr_use_footnote,15
tob_1_footnote,15
tob_2a_footnote,15
imm_2_footnote,15
hbips_7_overall_footnote,15
fuh_30_footnote,15
hbips_2_overall_footnote,15
sub_1_footnote,15
fuh_7_footnote,15
hie_footnote,15
hie_footnote,15
hie_footnote,15
imm_2_measure_description,18
hospital_name,18
ehr_use_response,18
hbips_3_measure_description,18
sub_1_measure_description,18
sub_1_measure_description,18
start_date,18
start_date,18
start_date,18
start_date,18
start_date,18
start_date,18
end_date,18
end_date,18
end_date,18
end_date,18
end_date,18
end_date,18
city,18
country_name,18
flu_season_start_date,18
flu_season_start_date,18
flu_season_start_date,18
flu_season_start_date,18
flu_season_start_date,18
flu_season_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_start_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
fuh_measure_end_date,18
flu_season_end_date,18
flu_season_end_date,18
flu_season_end_date,18
flu_season_end_date,18
flu_season_end_date,18
flu_season_end_date,18
tob_1_measure_description,18
tob_1_measure_description,18
address,18
hbips_6_overall_percentage_of_total,20
fuh_7_percentage,20
hbips_7_overall_percentage_of_total,20
imm_2_percentage,20
hbips_5_overall_percentage_of_total,20
tob_2_percentage,20
fuh_30_percentage,20
sub_1_percentage,20
tob_1_percentage,20
tob_2a_percentage,20
state,21
hbips_3_overall_rate_per_1000,21
hie_response,21
peoc_assessed_response,21
hbips_2_overall_rate_per_1000,22
ehr_use_measure_description,23
tob_2_2a_measure_desc,23
hbips_2_measure_description,23
hcp_measure_description,23
hbips_6_measure_description,23
peoc_measure_description,23
hbips_5_measure_description,24
fuh_measure_description,24
hie_measure_description,24
hbips_7_measure_description,24
