Attribute,Cluster ID
end_date,2
s_ehr_certified_count,2
s_ehr_certified_percentage,2
s_ehr_non_certified_count,2
s_ehr_non_certified_percentage,2
s_ehr_paper_count,2
s_ehr_paper_percentage,2
s_ehr_use_measure_description,1
s_flu_season_end_date,2
s_flu_season_start_date,2
s_fuh_30_denominator,12
s_fuh_30_numerator,3
s_fuh_30_percentage,2
s_fuh_7_denominator,12
s_fuh_7_numerator,3
s_fuh_7_percentage,2
s_fuh_measure_description,1
s_fuh_measure_end_date,2
s_fuh_measure_start_date,2
s_hbips_2_measure_description,1
s_hbips_2_overall_num,9
s_hbips_2_overall_rate_per_1000,7
s_hbips_3_measure_description,1
s_hbips_3_overall_num,9
s_hbips_3_overall_rate_per_1000,7
s_hbips_5_measure_description,1
s_hbips_5_overall_den,3
s_hbips_5_overall_num,3
s_hbips_5_overall_percentage_of_total,2
s_hbips_6_measure_description,1
s_hbips_6_overall_den,9
s_hbips_6_overall_num,9
s_hbips_6_overall_percentage_of_total,2
s_hbips_7_measure_description,1
s_hbips_7_overall_den,9
s_hbips_7_overall_num,9
s_hbips_7_overall_percentage_of_total,2
s_hcp_measure_description,1
s_hcp_percentage,2
s_hie_measure_description,1
s_hie_no_count,2
s_hie_no_percent,7
s_hie_yes_count,2
s_hie_yes_percent,7
s_imm_2_denominator,9
s_imm_2_measure_description,1
s_imm_2_numerator,12
s_imm_2_percentage,2
s_peoc_measure_description,1
s_peoc_no_count,2
s_peoc_no_percentage,2
s_peoc_yes_count,2
s_peoc_yes_percentage,2
s_sub_1_denominator,9
s_sub_1_measure_description,1
s_sub_1_numerator,9
s_sub_1_percentage,2
s_tob_1_denominator,9
s_tob_1_measure_description,1
s_tob_1_numerator,9
s_tob_1_percentage,2
s_tob_2_2a__denominator,12
s_tob_2_2a_denominator,12
s_tob_2_numerator,12
s_tob_2_percentage,2
s_tob_2a_numerator,3
s_tob_2a_percentage,2
start_date,2
state,2
tob_2_2a_measure_desc,1
