test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,7,0.9401709401709402
ts_s_hbips_7_overall_den,tr_tob_1_numerator,17,0.8547008547008547
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,6,0.9487179487179487
ts_s_hbips_7_overall_den,tr_hbips_3_overall_den,4,0.9658119658119658
ts_s_hbips_7_overall_den,tr_imm_2_denominator,19,0.8376068376068376
ts_s_hbips_7_overall_den,tr_hbips_2_overall_den,4,0.9658119658119658
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,3,0.9743589743589743
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,4,0.9658119658119658
ts_s_hbips_7_overall_den,tr_tob_1_denominator,19,0.8376068376068376
ts_s_hbips_7_overall_den,tr_sub_1_denominator,18,0.8461538461538461
ts_s_hbips_7_overall_den,tr_sub_1_numerator,16,0.8632478632478633
ts_s_sub_1_percentage,tr_tob_1_percentage,5,0.9397590361445783
ts_s_sub_1_percentage,tr_imm_2_percentage,7,0.9156626506024097
ts_s_sub_1_percentage,tr_sub_1_percentage,3,0.963855421686747
ts_s_sub_1_percentage,tr_tob_2_percentage,6,0.927710843373494
ts_s_sub_1_percentage,tr_hbips_6_overall_percentage_of_total,23,0.7228915662650602
ts_s_sub_1_percentage,tr_zip_code,16,0.8072289156626506
ts_s_sub_1_percentage,tr_hbips_7_overall_percentage_of_total,23,0.7228915662650602
ts_s_hbips_5_measure_description,tr_hbips_7_measure_description,4,0.9652173913043478
ts_s_hbips_5_measure_description,tr_hbips_5_measure_description,3,0.9739130434782609
ts_s_hbips_5_measure_description,tr_ehr_use_response,22,0.808695652173913
ts_s_hbips_5_measure_description,tr_hospital_name,26,0.7739130434782608
ts_s_hbips_5_measure_description,tr_peoc_measure_description,9,0.9217391304347826
ts_s_hbips_5_measure_description,tr_hbips_3_measure_description,4,0.9652173913043478
ts_s_hbips_5_measure_description,tr_hie_measure_description,8,0.9304347826086956
ts_s_hbips_5_measure_description,tr_sub_1_measure_description,7,0.9391304347826087
ts_s_hbips_5_measure_description,tr_ehr_use_measure_description,8,0.9304347826086956
ts_s_hbips_5_measure_description,tr_imm_2_measure_description,8,0.9304347826086956
ts_s_hbips_5_measure_description,tr_hcp_measure_description,8,0.9304347826086956
ts_s_hbips_5_measure_description,tr_tob_1_measure_description,8,0.9304347826086956
