test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_2_overall_den,0.1777713981494211,0.5045812962241938
ts_s_hbips_7_overall_den,tr_hbips_3_overall_den,0.18105921683250484,0.4954187037758061
ts_s_fuh_measure_end_date,tr_fuh_measure_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_end_date,0.0,1
ts_s_fuh_measure_end_date,tr_flu_season_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_flu_season_end_date,0.0,1
ts_s_fuh_measure_end_date,tr_fuh_measure_end_date,0.0,1
ts_s_sub_1_numerator,tr_hbips_2_overall_den,0.1665056155209187,0.5027294206656985
ts_s_sub_1_numerator,tr_hbips_3_overall_den,0.16833344884484486,0.4972705793343014
ts_s_tob_1_numerator,tr_hbips_2_overall_den,0.1682103445094861,0.5042302902058639
ts_s_tob_1_numerator,tr_hbips_3_overall_den,0.17108094575375715,0.49576970979413604
ts_s_tob_2a_numerator,tr_hbips_6_overall_num,0.027454872063078364,0.9584326985466021
ts_s_tob_2a_numerator,tr_tob_1_numerator,0.0565028317874423,0.9144534260992689
ts_s_tob_2a_numerator,tr_hbips_7_overall_num,0.03005944111256893,0.9544893216994027
ts_s_tob_2a_numerator,tr_imm_2_denominator,0.12567569375181503,0.8097241380129426
ts_s_tob_2a_numerator,tr_imm_2_numerator,0.12604015233250074,0.8091723394230299
ts_s_tob_2a_numerator,tr_hbips_7_overall_den,0.07436215435286958,0.8874140050768367
ts_s_tob_2a_numerator,tr_hbips_6_overall_den,0.0766833097877237,0.8838997228955503
ts_s_tob_2a_numerator,tr_tob_1_denominator,0.05442067621777592,0.9176058570426128
ts_s_tob_2a_numerator,tr_sub_1_denominator,0.03127059321471213,0.952655609838716
ts_s_tob_2a_numerator,tr_sub_1_numerator,0.05802232329026473,0.912152881365038
ts_s_hbips_7_overall_num,tr_hbips_2_overall_den,0.18099038648502852,0.5043173126371073
ts_s_hbips_7_overall_num,tr_hbips_3_overall_den,0.18414317798930266,0.49568268736289267
ts_s_ehr_certified_percentage,tr_hcp_percentage,0.165286750830186,0.0
ts_start_date,tr_fuh_measure_start_date,0.0,1
ts_start_date,tr_end_date,0.0,1
ts_start_date,tr_flu_season_start_date,0.0,1
ts_start_date,tr_start_date,0.0,1
ts_start_date,tr_flu_season_end_date,0.0,1
ts_start_date,tr_fuh_measure_end_date,0.0,1
ts_s_peoc_no_count,None,1,0.0
ts_st_no,None,1,0.0
ts_s_hie_measure_description,tr_hbips_7_measure_description,0.4356754066963156,0.854060297750908
ts_s_hie_measure_description,tr_hbips_5_measure_description,0.047022122453160266,0.9842488365318313
ts_s_hie_measure_description,tr_ehr_use_response,0.28043291532913894,0.9060624135883191
ts_s_hie_measure_description,tr_address,0.8054555977830187,0.7301937444514646
ts_s_hie_measure_description,tr_hospital_name,0.52441410164106,0.8243351892890569
ts_s_hie_measure_description,tr_peoc_measure_description,0.20200920771093578,0.9323322749648373
ts_s_hie_measure_description,tr_tob_1_measure_description,0.02576392827190759,0.9913697675770117
ts_s_hie_measure_description,tr_hie_measure_description,0.0,1.0
ts_s_hie_measure_description,tr_sub_1_measure_description,0.02576392827190759,0.9913697675770117
