test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,3,0.966666667
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,4,0.955555556
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,6,0.933333333
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,7,0.922222222
ts_s_hbips_7_overall_den,tr_sub_1_numerator,16,0.822222222
ts_s_hbips_7_overall_den,tr_tob_1_numerator,17,0.811111111
ts_s_hbips_7_overall_den,tr_sub_1_denominator,18,0.8
ts_s_hbips_7_overall_den,tr_tob_1_denominator,19,0.788888889
ts_s_sub_1_percentage,,1,0
ts_s_sub_1_numerator,tr_sub_1_numerator,3,0.966666667
ts_s_sub_1_numerator,tr_tob_1_numerator,5,0.944444444
ts_s_sub_1_numerator,tr_sub_1_denominator,8,0.911111111
ts_s_sub_1_numerator,tr_tob_1_denominator,10,0.888888889
ts_s_sub_1_numerator,tr_hbips_6_overall_num,16,0.822222222
ts_s_sub_1_numerator,tr_hbips_7_overall_num,16,0.822222222
ts_s_sub_1_numerator,tr_hbips_7_overall_den,16,0.822222222
ts_s_sub_1_numerator,tr_hbips_6_overall_den,16,0.822222222
ts_s_tob_1_numerator,tr_tob_1_numerator,3,0.965909091
ts_s_tob_1_numerator,tr_sub_1_numerator,4,0.954545455
ts_s_tob_1_numerator,tr_tob_1_denominator,8,0.909090909
ts_s_tob_1_numerator,tr_sub_1_denominator,9,0.897727273
ts_s_tob_1_numerator,tr_hbips_6_overall_num,16,0.818181818
ts_s_tob_1_numerator,tr_hbips_7_overall_num,16,0.818181818
ts_s_tob_1_numerator,tr_hbips_7_overall_den,16,0.818181818
ts_s_tob_1_numerator,tr_hbips_6_overall_den,16,0.818181818
ts_s_tob_2a_numerator,tr_tob_1_numerator,5,0.95
ts_s_tob_2a_numerator,tr_sub_1_numerator,6,0.94
ts_s_tob_2a_numerator,tr_tob_1_denominator,10,0.9
ts_s_tob_2a_numerator,tr_sub_1_denominator,11,0.89
ts_s_tob_2a_numerator,tr_hbips_6_overall_num,17,0.83
ts_s_tob_2a_numerator,tr_hbips_7_overall_num,17,0.83
ts_s_tob_2a_numerator,tr_hbips_7_overall_den,17,0.83
ts_s_tob_2a_numerator,tr_hbips_6_overall_den,17,0.83
ts_s_hbips_7_overall_num,tr_hbips_7_overall_num,3,0.966666667
ts_s_hbips_7_overall_num,tr_hbips_6_overall_num,4,0.955555556
ts_s_hbips_7_overall_num,tr_hbips_7_overall_den,6,0.933333333
ts_s_hbips_7_overall_num,tr_hbips_6_overall_den,7,0.922222222
ts_s_hbips_7_overall_num,tr_sub_1_numerator,16,0.822222222
ts_s_hbips_7_overall_num,tr_tob_1_numerator,17,0.811111111
ts_s_hbips_7_overall_num,tr_sub_1_denominator,18,0.8
ts_s_hbips_7_overall_num,tr_tob_1_denominator,19,0.788888889
