Cosine:  precision, recall, F1_Score, second_score
FinalSOM(0.027777777777777776, 1.0, 0.05405405405405406, 0.02631578947368421)
Centroid(0.05555555555555555, 1.0, 0.10526315789473684, 0.05263157894736842)


Euclidean: precision, recall, F1_Score, second_score
FinalSOM(0.19444444444444445, 1.0, 0.32558139534883723, 0.18421052631578946)
Centroid(0.2222222222222222, 1.0, 0.3636363636363636, 0.21052631578947367)

Edit: precision, recall, F1_Score, second_score
FinalSOM (0.3611111111111111, 1.0, 0.5306122448979591, 0.34210526315789475)
Centroid (0.5277777777777778, 1.0, 0.6909090909090909, 0.5)
