test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,3,0.966666667
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,4,0.955555556
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,6,0.933333333
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,7,0.922222222
ts_s_hbips_7_overall_den,tr_sub_1_numerator,16,0.822222222
ts_s_hbips_7_overall_den,tr_tob_1_numerator,17,0.811111111
ts_s_hbips_7_overall_den,tr_sub_1_denominator,18,0.8
ts_s_hbips_7_overall_den,tr_tob_1_denominator,19,0.788888889
ts_s_fuh_measure_end_date,tr_fuh_measure_end_date,3,0.996636771
ts_s_fuh_measure_end_date,tr_fuh_measure_start_date,8,0.99103139
ts_s_fuh_measure_end_date,tr_flu_season_end_date,9,0.989910314
ts_s_fuh_measure_end_date,tr_end_date,14,0.984304933
ts_s_fuh_measure_end_date,tr_fuh_30_percentage,14,0.984304933
ts_s_fuh_measure_end_date,tr_fuh_7_percentage,14,0.984304933
ts_s_fuh_measure_end_date,tr_sub_1_measure_description,14,0.984304933
ts_s_fuh_measure_end_date,tr_flu_season_start_date,14,0.984304933
ts_s_fuh_measure_end_date,tr_hcp_measure_description,15,0.983183857
ts_s_fuh_measure_end_date,tr_peoc_measure_description,15,0.983183857
ts_s_fuh_measure_end_date,tr_sub_1_percentage,15,0.983183857
ts_s_fuh_measure_end_date,tr_start_date,15,0.983183857
ts_s_fuh_measure_end_date,tr_tob_1_measure_description,15,0.983183857
ts_s_fuh_measure_end_date,tr_imm_2_measure_description,15,0.983183857
ts_s_fuh_measure_end_date,tr_tob_2_percentage,16,0.98206278
ts_s_fuh_measure_end_date,tr_imm_2_percentage,16,0.98206278
ts_s_fuh_measure_end_date,tr_ehr_use_measure_description,16,0.98206278
ts_s_fuh_measure_end_date,tr_tob_1_percentage,16,0.98206278
ts_s_fuh_measure_end_date,tr_sub_1_footnote,17,0.980941704
ts_s_fuh_measure_end_date,tr_ehr_use_footnote,17,0.980941704
ts_s_fuh_measure_end_date,tr_tob_2a_percentage,17,0.980941704
ts_s_fuh_measure_end_date,tr_hbips_3_measure_description,17,0.980941704
ts_s_fuh_measure_end_date,tr_sub_1_numerator,17,0.980941704
ts_s_fuh_measure_end_date,tr_hospital_name,18,0.979820628
ts_s_fuh_measure_end_date,tr_hie_footnote,18,0.979820628
ts_s_fuh_measure_end_date,tr_ehr_use_response,18,0.979820628
ts_s_fuh_measure_end_date,tr_sub_1_denominator,18,0.979820628
ts_s_fuh_measure_end_date,tr_hbips_3_overall_den,19,0.978699552
ts_s_fuh_measure_end_date,tr_hcp_denominator,19,0.978699552
ts_s_fuh_measure_end_date,tr_hbips_2_overall_den,19,0.978699552
ts_s_fuh_measure_end_date,tr_hcp_footnote,19,0.978699552
ts_s_fuh_measure_end_date,tr_imm_2_denominator,19,0.978699552
