test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,0.11542703322878918,0.905863794967293
ts_s_hbips_7_overall_den,tr_tob_1_numerator,0.13034124443168402,0.893700550323259
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,0.128358404477463,0.8953176500897203
ts_s_hbips_7_overall_den,tr_imm_2_denominator,0.1975684438365601,0.8388735895158347
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,0.12763385130912566,0.8959085574682069
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,0.12099347089822655,0.9013241017680984
ts_s_hbips_7_overall_den,tr_tob_1_denominator,0.11852763390872188,0.9033351084614885
ts_s_hbips_7_overall_den,tr_sub_1_denominator,0.12663869866671879,0.8967201515165332
ts_s_hbips_7_overall_den,tr_sub_1_numerator,0.16068167288150817,0.8689564958895662
ts_s_fuh_measure_end_date,tr_fuh_measure_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_end_date,0.0,1
ts_s_fuh_measure_end_date,tr_flu_season_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_flu_season_end_date,0.0,1
ts_s_fuh_measure_end_date,tr_fuh_measure_end_date,0.0,1
ts_s_sub_1_numerator,tr_hbips_6_overall_num,0.08110690476155531,0.9140723891600004
ts_s_sub_1_numerator,tr_tob_1_numerator,0.09971173451505094,0.8943617544673967
ts_s_sub_1_numerator,tr_hbips_7_overall_num,0.09193524895272759,0.9026004466856077
ts_s_sub_1_numerator,tr_imm_2_denominator,0.16751698421354178,0.8225264017791186
ts_s_sub_1_numerator,tr_hbips_7_overall_den,0.10198191016057702,0.89195664765213
ts_s_sub_1_numerator,tr_hbips_6_overall_den,0.09811151818211765,0.8960570819702813
ts_s_sub_1_numerator,tr_tob_1_denominator,0.09022876481477513,0.9044083581740524
ts_s_sub_1_numerator,tr_sub_1_denominator,0.0911920500920996,0.9033878186443887
ts_s_sub_1_numerator,tr_sub_1_numerator,0.12211293952730809,0.870629101467024
ts_s_tob_1_numerator,tr_hbips_6_overall_num,0.0962452596235264,0.9091173056719167
ts_s_tob_1_numerator,tr_tob_1_numerator,0.11134383682988473,0.8948599865852216
ts_s_tob_1_numerator,tr_hbips_7_overall_num,0.10915718024939997,0.8969248076723281
ts_s_tob_1_numerator,tr_imm_2_denominator,0.17990541959596437,0.8301184980843577
ts_s_tob_1_numerator,tr_hbips_7_overall_den,0.10943532336499033,0.8966621620537019
ts_s_tob_1_numerator,tr_hbips_6_overall_den,0.10328867314473547,0.9024663350103148
ts_s_tob_1_numerator,tr_tob_1_denominator,0.09969779335572075,0.9058571392069108
ts_s_tob_1_numerator,tr_sub_1_denominator,0.10784326590010151,0.8981655137252564
ts_s_tob_1_numerator,tr_sub_1_numerator,0.14208859912040794,0.8658282519899919
ts_s_tob_2a_numerator,tr_hbips_6_overall_num,0.027454872063078364,0.9486298537057792
ts_s_tob_2a_numerator,tr_tob_1_numerator,0.0565028317874423,0.8942789196653349
ts_s_tob_2a_numerator,tr_hbips_7_overall_num,0.03005944111256893,0.943756507627228
ts_s_tob_2a_numerator,tr_imm_2_denominator,0.12567569375181503,0.7648512526729088
ts_s_tob_2a_numerator,tr_hbips_7_overall_den,0.07436215435286958,0.8608627736787922
