Attribute,Cluster ID
zip_code,1
provider_number,1
imm_2_measure_description,2
hospital_name,2
hbips_2_measure_description,2
imm_2_denominator,3
sub_1_denominator,3
hbips_3_overall_den,4
hbips_2_overall_den,4
tob_2_2a_denominator,4
tob_2_numerator,4
hbips_2_overall_num,4
fuh_30_numerator,4
tob_2a_numerator,4
fuh_30_denominator,4
ehr_use_measure_description,5
peoc_measure_description,5
hbips_6_overall_num,6
hbips_3_overall_num,6
hcp_denominator,6
tob_1_denominator,6
hbips_7_overall_num,6
imm_2_numerator,6
sub_1_numerator,6
hbips_3_overall_rate_per_1000,6
hie_response,6
hcp_percentage,6
hcp_numerator,6
tob_1_numerator,6
hbips_6_overall_den,6
hbips_2_overall_rate_per_1000,6
hbips_7_overall_den,6
peoc_assessed_response,6
ehr_use_response,7
hbips_3_measure_description,7
sub_1_measure_description,7
sub_1_measure_description,7
tob_1_measure_description,7
tob_1_measure_description,7
address,7
hbips_5_measure_description,8
tob_2_2a_measure_desc,8
hcp_measure_description,8
fuh_measure_description,8
hbips_6_measure_description,8
hie_measure_description,8
hbips_7_measure_description,8
state,9
start_date,10
start_date,10
start_date,10
start_date,10
start_date,10
start_date,10
end_date,10
end_date,10
end_date,10
end_date,10
end_date,10
end_date,10
flu_season_start_date,10
flu_season_start_date,10
flu_season_start_date,10
flu_season_start_date,10
flu_season_start_date,10
flu_season_start_date,10
fuh_measure_start_date,10
fuh_measure_start_date,10
fuh_measure_start_date,10
fuh_measure_start_date,10
fuh_measure_start_date,10
fuh_measure_start_date,10
fuh_measure_end_date,10
fuh_measure_end_date,10
fuh_measure_end_date,10
fuh_measure_end_date,10
fuh_measure_end_date,10
fuh_measure_end_date,10
flu_season_end_date,10
flu_season_end_date,10
flu_season_end_date,10
flu_season_end_date,10
flu_season_end_date,10
flu_season_end_date,10
hcp_footnote,12
peoc_assessed_footnote,12
peoc_assessed_footnote,12
peoc_assessed_footnote,12
hbips_6_overall_footnote,12
hbips_5_overall_footnote,12
hbips_3_overall_footnote,12
tob_2_footnote,12
ehr_use_footnote,12
ehr_use_footnote,12
ehr_use_footnote,12
tob_1_footnote,12
tob_2a_footnote,12
imm_2_footnote,12
hbips_7_overall_footnote,12
fuh_30_footnote,12
hbips_2_overall_footnote,12
sub_1_footnote,12
fuh_7_footnote,12
hie_footnote,12
hie_footnote,12
hie_footnote,12
hbips_6_overall_percentage_of_total,14
fuh_7_percentage,14
hbips_7_overall_percentage_of_total,14
imm_2_percentage,14
hbips_5_overall_percentage_of_total,14
fuh_7_numerator,14
tob_2_2a__denominator,14
city,14
hbips_5_overall_num,14
tob_2_percentage,14
fuh_30_percentage,14
country_name,14
fuh_7_denominator,14
sub_1_percentage,14
tob_1_percentage,14
hbips_5_overall_den,14
tob_2a_percentage,14
