Attribute,Cluster ID
tr_hbips_6_overall_num,24
tr_tob_1_denominator,24
tr_hbips_7_overall_num,24
tr_hbips_3_overall_den,24
tr_hbips_7_measure_description,10
tr_end_date,40
tr_end_date,40
tr_end_date,40
tr_end_date,40
tr_end_date,40
tr_end_date,40
tr_hcp_numerator,31
tr_tob_2a_percentage,36
tr_hbips_2_measure_description,8
tr_peoc_assessed_response,22
tr_hcp_percentage,28
tr_sub_1_footnote,35
tr_sub_1_measure_description,15
tr_sub_1_measure_description,15
tr_hcp_denominator,31
tr_hbips_2_overall_rate_per_1000,45
tr_hcp_footnote,35
tr_tob_2_footnote,28
tr_hbips_3_overall_rate_per_1000,45
tr_hbips_2_overall_footnote,36
tr_hbips_5_measure_description,10
tr_tob_2a_footnote,28
tr_imm_2_denominator,31
tr_hbips_5_overall_den,32
tr_hbips_7_overall_footnote,36
tr_hbips_6_overall_den,24
tr_tob_2_2a__denominator,32
tr_fuh_measure_end_date,40
tr_fuh_measure_end_date,40
tr_fuh_measure_end_date,40
tr_fuh_measure_end_date,40
tr_fuh_measure_end_date,40
tr_fuh_measure_end_date,40
tr_ehr_use_footnote,36
tr_ehr_use_footnote,36
tr_ehr_use_footnote,36
tr_hie_response,22
tr_hbips_3_overall_footnote,36
tr_hbips_6_measure_description,8
tr_hbips_5_overall_footnote,28
tr_hbips_6_overall_percentage_of_total,36
tr_hcp_measure_description,15
tr_hie_measure_description,15
tr_imm_2_percentage,36
tr_tob_2_numerator,32
tr_hie_footnote,36
tr_hie_footnote,36
tr_hie_footnote,36
tr_provider_number,18
tr_ehr_use_response,15
tr_fuh_7_denominator,32
tr_tob_2_percentage,36
tr_peoc_measure_description,15
tr_hbips_5_overall_percentage_of_total,36
tr_hbips_6_overall_footnote,36
tr_zip_code,29
tr_tob_2_2a_measure_desc,9
tr_state,14
tr_fuh_7_footnote,28
tr_tob_2a_numerator,32
tr_hbips_2_overall_num,30
tr_address,16
tr_tob_1_footnote,35
tr_flu_season_end_date,40
tr_flu_season_end_date,40
tr_flu_season_end_date,40
tr_flu_season_end_date,40
tr_flu_season_end_date,40
tr_flu_season_end_date,40
tr_fuh_7_percentage,36
tr_fuh_30_percentage,36
tr_ehr_use_measure_description,15
tr_fuh_measure_description,1
tr_fuh_30_numerator,32
tr_hbips_3_overall_num,30
tr_tob_1_percentage,36
tr_tob_1_numerator,24
tr_sub_1_percentage,36
tr_fuh_30_denominator,32
tr_hbips_3_measure_description,15
tr_hospital_name,16
tr_hbips_2_overall_den,24
tr_hbips_7_overall_den,24
tr_hbips_5_overall_num,32
tr_imm_2_footnote,35
tr_flu_season_start_date,40
tr_flu_season_start_date,40
tr_flu_season_start_date,40
tr_flu_season_start_date,40
tr_flu_season_start_date,40
tr_flu_season_start_date,40
tr_imm_2_numerator,24
tr_country_name,22
tr_fuh_measure_start_date,40
tr_fuh_measure_start_date,40
tr_fuh_measure_start_date,40
tr_fuh_measure_start_date,40
tr_fuh_measure_start_date,40
tr_fuh_measure_start_date,40
tr_start_date,40
tr_start_date,40
tr_start_date,40
tr_start_date,40
tr_start_date,40
tr_start_date,40
tr_sub_1_numerator,24
tr_tob_1_measure_description,15
tr_tob_1_measure_description,15
tr_tob_2_2a_denominator,32
tr_city,22
tr_fuh_30_footnote,28
tr_sub_1_denominator,24
tr_fuh_7_numerator,32
tr_imm_2_measure_description,15
tr_peoc_assessed_footnote,36
tr_peoc_assessed_footnote,36
tr_peoc_assessed_footnote,36
tr_hbips_7_overall_percentage_of_total,36
