Attribute,Cluster ID
ts_s_hbips_7_overall_den,24
ts_s_sub_1_percentage,36
ts_s_sub_1_numerator,24
ts_s_tob_1_numerator,24
ts_s_tob_2a_numerator,24
ts_s_hbips_7_overall_num,24
ts_s_fuh_measure_start_date,40
ts_start_date,40
ts_s_peoc_no_count,35
ts_st_no,24
ts_s_imm_2_measure_description,15
ts_s_tob_2a_percentage,36
ts_st_name,16
ts_s_peoc_measure_description,15
ts_s_tob_2_numerator,24
ts_s_imm_2_denominator,24
ts_s_hbips_2_overall_num,24
ts_s_fuh_7_percentage,36
ts_s_peoc_yes_count,35
ts_s_flu_season_end_date,40
ts_s_imm_2_numerator,24
ts_s_hbips_6_overall_percentage_of_total,36
ts_s_hcp_denominator,24
ts_s_hie_measure_description,15
ts_s_tob_2_2a__denominator,24
ts_s_ehr_paper_percentage,36
ts_s_ehr_non_certified_count,29
ts_s_peoc_no_percentage,29
ts_s_hbips_7_overall_percentage_of_total,36
ts_s_tob_1_percentage,36
ts_s_sub_1_measure_description,15
ts_s_ehr_certified_count,35
ts_s_hbips_6_overall_num,24
ts_s_hbips_2_overall_den,24
ts_s_hbips_6_overall_den,24
ts_s_fuh_measure_end_date,40
ts_s_hie_yes_count,35
ts_s_tob_2_percentage,36
ts_s_hcp_measure_description,15
ts_s_hbips_5_overall_den,24
ts_state,14
ts_s_flu_season_start_date,40
ts_s_fuh_30_numerator,24
ts_s_ehr_use_measure_description,15
ts_s_tob_1_denominator,24
ts_s_hbips_7_measure_description,10
ts_s_sub_1_denominator,24
ts_s_fuh_30_denominator,24
ts_s_ehr_non_certified_percentage,36
ts_s_fuh_30_percentage,36
ts_s_hcp_numerator,24
ts_s_hbips_3_overall_den,24
ts_tob_2_2a_measure_desc,15
ts_s_fuh_measure_description,1
ts_s_hbips_5_overall_percentage_of_total,36
ts_s_hie_no_percent,36
ts_end_date,40
ts_s_hbips_3_measure_description,15
ts_s_hbips_3_overall_rate_per_1000,36
ts_s_hie_no_count,35
ts_s_hie_yes_percent,36
ts_s_hbips_6_measure_description,8
ts_s_hbips_5_measure_description,10
ts_s_tob_2_2a_denominator,24
ts_s_hbips_2_measure_description,8
ts_s_ehr_certified_percentage,36
ts_s_hcp_percentage,36
ts_s_ehr_paper_count,35
ts_s_hbips_3_overall_num,31
ts_s_hbips_5_overall_num,24
ts_s_fuh_7_denominator,24
ts_s_imm_2_percentage,36
ts_s_hbips_2_overall_rate_per_1000,36
ts_s_tob_1_measure_description,15
ts_s_peoc_yes_percentage,29
ts_s_fuh_7_numerator,24
