number,attribute
0,tr_hbips_6_overall_num
5,tr_sub_1_percentage
0,tr_hbips_7_overall_num
0,tr_hbips_3_overall_den
7,tr_hbips_7_measure_description
2,tr_end_date
22,tr_hcp_numerator
5,tr_tob_2a_percentage
12,tr_hbips_2_measure_description
9,tr_peoc_assessed_response
23,tr_hcp_percentage
3,tr_sub_1_footnote
21,tr_sub_1_measure_description
22,tr_hcp_denominator
4,tr_hbips_2_overall_rate_per_1000
3,tr_hcp_footnote
17,tr_tob_2_footnote
4,tr_hbips_3_overall_rate_per_1000
15,tr_hbips_2_overall_footnote
21,tr_hbips_5_measure_description
19,tr_tob_2a_footnote
0,tr_imm_2_denominator
13,tr_hbips_5_overall_den
15,tr_hbips_7_overall_footnote
0,tr_hbips_6_overall_den
19,tr_fuh_7_footnote
13,tr_tob_2_2a__denominator
8,tr_hbips_5_overall_footnote
2,tr_fuh_measure_end_date
15,tr_ehr_use_footnote
9,tr_hie_response
15,tr_hbips_3_overall_footnote
12,tr_hbips_6_measure_description
0,tr_tob_1_denominator
5,tr_hbips_6_overall_percentage_of_total
1,tr_hcp_measure_description
21,tr_hie_measure_description
5,tr_imm_2_percentage
22,tr_tob_2_numerator
15,tr_hie_footnote
6,tr_provider_number
21,tr_ehr_use_response
13,tr_fuh_7_denominator
5,tr_tob_2_percentage
21,tr_peoc_measure_description
5,tr_hbips_5_overall_percentage_of_total
15,tr_hbips_6_overall_footnote
24,tr_zip_code
16,tr_tob_2_2a_measure_desc
14,tr_state
13,tr_tob_2a_numerator
10,tr_hbips_2_overall_num
20,tr_address
3,tr_tob_1_footnote
2,tr_flu_season_end_date
5,tr_fuh_7_percentage
5,tr_fuh_30_percentage
7,tr_ehr_use_measure_description
11,tr_fuh_measure_description
22,tr_fuh_30_numerator
10,tr_hbips_3_overall_num
5,tr_tob_1_percentage
0,tr_tob_1_numerator
22,tr_fuh_30_denominator
21,tr_hbips_3_measure_description
18,tr_hospital_name
0,tr_hbips_2_overall_den
0,tr_hbips_7_overall_den
13,tr_hbips_5_overall_num
3,tr_imm_2_footnote
2,tr_flu_season_start_date
22,tr_imm_2_numerator
9,tr_country_name
2,tr_fuh_measure_start_date
2,tr_start_date
0,tr_sub_1_numerator
21,tr_tob_1_measure_description
22,tr_tob_2_2a_denominator
9,tr_city
17,tr_fuh_30_footnote
0,tr_sub_1_denominator
22,tr_fuh_7_numerator
1,tr_imm_2_measure_description
15,tr_peoc_assessed_footnote
5,tr_hbips_7_overall_percentage_of_total
