test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,None,1,0.0
ts_s_fuh_measure_end_date,tr_fuh_measure_start_date,1.0,0.83333333333333337
ts_s_fuh_measure_end_date,tr_end_date,1.0,0.83333333333333337
ts_s_fuh_measure_end_date,tr_flu_season_start_date,1.0,0.83333333333333337
ts_s_fuh_measure_end_date,tr_start_date,1.0,0.83333333333333337
ts_s_fuh_measure_end_date,tr_flu_season_end_date,1.0,0.83333333333333337
ts_s_fuh_measure_end_date,tr_fuh_measure_end_date,1.0,0.83333333333333337
ts_s_tob_2a_percentage,tr_tob_1_percentage,0.99639081708653343,0.86917369143917056
ts_s_tob_2a_percentage,tr_imm_2_percentage,0.97536364933394282,0.87193456266498581
ts_s_tob_2a_percentage,tr_fuh_30_percentage,0.88905164116567315,0.88326734616668912
ts_s_tob_2a_percentage,tr_tob_2_percentage,0.92048504067650017,0.87914013468199892
ts_s_tob_2a_percentage,tr_hbips_6_overall_percentage_of_total,0.99490706900155068,0.86936850785203168
ts_s_tob_2a_percentage,tr_zip_code,0.85924731077466898,0.88718066055830869
ts_s_tob_2a_percentage,tr_sub_1_percentage,0.9910644251958598,0.8698730477329617
ts_s_tob_2a_percentage,tr_hbips_7_overall_percentage_of_total,0.98962496677830813,0.87006204890385341
ts_s_hbips_3_overall_num,tr_hbips_6_overall_num,0.99157666982794024,0.90020598205558511
ts_s_hbips_3_overall_num,tr_tob_1_numerator,0.9950565568130062,0.89985576011632507
ts_s_hbips_3_overall_num,tr_hbips_7_overall_num,0.9921172708817575,0.90015157501586041
ts_s_hbips_3_overall_num,tr_imm_2_denominator,0.99790030875525693,0.89956955992526599
ts_s_hbips_3_overall_num,tr_imm_2_numerator,0.99108824815860008,0.900255137670393
ts_s_hbips_3_overall_num,tr_hbips_7_overall_den,0.99608741136478474,0.89975201310334207
ts_s_hbips_3_overall_num,tr_hbips_6_overall_den,0.99544355188204259,0.89981681225274679
