test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,7,0.978328173374613
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,6,0.9814241486068112
ts_s_hbips_7_overall_den,tr_hbips_3_overall_den,4,0.9876160990712074
ts_s_hbips_7_overall_den,tr_hcp_numerator,16,0.9504643962848297
ts_s_hbips_7_overall_den,tr_hcp_denominator,18,0.9442724458204335
ts_s_hbips_7_overall_den,tr_imm_2_denominator,19,0.9411764705882353
ts_s_hbips_7_overall_den,tr_hbips_5_overall_den,4,0.9876160990712074
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,4,0.9876160990712074
ts_s_hbips_7_overall_den,tr_tob_2_2a__denominator,20,0.9380804953560371
ts_s_hbips_7_overall_den,tr_tob_2_numerator,17,0.9473684210526316
ts_s_hbips_7_overall_den,tr_fuh_7_numerator,16,0.9504643962848297
ts_s_hbips_7_overall_den,tr_fuh_7_denominator,18,0.9442724458204335
ts_s_hbips_7_overall_den,tr_tob_2a_numerator,17,0.9473684210526316
ts_s_hbips_7_overall_den,tr_sub_1_denominator,18,0.9442724458204335
ts_s_hbips_7_overall_den,tr_fuh_30_numerator,17,0.9473684210526316
ts_s_hbips_7_overall_den,tr_tob_1_numerator,17,0.9473684210526316
ts_s_hbips_7_overall_den,tr_fuh_30_denominator,19,0.9411764705882353
ts_s_hbips_7_overall_den,tr_tob_2_2a_denominator,20,0.9380804953560371
ts_s_hbips_7_overall_den,tr_hbips_2_overall_den,4,0.9876160990712074
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,3,0.9907120743034056
ts_s_hbips_7_overall_den,tr_hbips_5_overall_num,7,0.978328173374613
ts_s_hbips_7_overall_den,tr_imm_2_numerator,17,0.9473684210526316
ts_s_hbips_7_overall_den,tr_tob_1_denominator,19,0.9411764705882353
ts_s_hbips_7_overall_den,tr_sub_1_numerator,16,0.9504643962848297
ts_s_sub_1_percentage,tr_tob_1_percentage,5,0.9444444444444444
ts_s_sub_1_percentage,tr_imm_2_percentage,7,0.9222222222222223
ts_s_sub_1_percentage,tr_fuh_30_percentage,7,0.9222222222222223
ts_s_sub_1_percentage,tr_tob_2_percentage,6,0.9333333333333333
ts_s_sub_1_percentage,tr_hbips_6_overall_percentage_of_total,23,0.7444444444444445
ts_s_sub_1_percentage,tr_zip_code,16,0.8222222222222222
ts_s_sub_1_percentage,tr_sub_1_percentage,3,0.9666666666666667
ts_s_sub_1_percentage,tr_hbips_7_overall_percentage_of_total,23,0.7444444444444445
ts_s_sub_1_numerator,tr_hbips_6_overall_num,16,0.9400749063670412
ts_s_sub_1_numerator,tr_hbips_7_overall_num,16,0.9400749063670412
ts_s_sub_1_numerator,tr_hbips_3_overall_den,16,0.9400749063670412
ts_s_sub_1_numerator,tr_hcp_numerator,8,0.9700374531835206
ts_s_sub_1_numerator,tr_hcp_denominator,11,0.9588014981273408
ts_s_sub_1_numerator,tr_imm_2_denominator,11,0.9588014981273408
ts_s_sub_1_numerator,tr_hbips_5_overall_den,16,0.9400749063670412
ts_s_sub_1_numerator,tr_hbips_6_overall_den,16,0.9400749063670412
ts_s_sub_1_numerator,tr_tob_2_2a__denominator,14,0.947565543071161
ts_s_sub_1_numerator,tr_tob_2_numerator,6,0.9775280898876404
ts_s_sub_1_numerator,tr_fuh_7_numerator,6,0.9775280898876404
ts_s_sub_1_numerator,tr_fuh_7_denominator,11,0.9588014981273408
ts_s_sub_1_numerator,tr_tob_2a_numerator,7,0.9737827715355806
ts_s_sub_1_numerator,tr_sub_1_denominator,8,0.9700374531835206
ts_s_sub_1_numerator,tr_fuh_30_numerator,7,0.9737827715355806
ts_s_sub_1_numerator,tr_tob_1_numerator,5,0.9812734082397003
ts_s_sub_1_numerator,tr_fuh_30_denominator,12,0.9550561797752809
ts_s_sub_1_numerator,tr_tob_2_2a_denominator,13,0.951310861423221
ts_s_sub_1_numerator,tr_hbips_2_overall_den,16,0.9400749063670412
ts_s_sub_1_numerator,tr_hbips_7_overall_den,16,0.9400749063670412
ts_s_sub_1_numerator,tr_hbips_5_overall_num,16,0.9400749063670412
ts_s_sub_1_numerator,tr_imm_2_numerator,7,0.9737827715355806
ts_s_sub_1_numerator,tr_tob_1_denominator,10,0.9625468164794008
ts_s_sub_1_numerator,tr_sub_1_numerator,3,0.9887640449438202
ts_s_tob_1_numerator,tr_hbips_6_overall_num,16,0.9386973180076629
ts_s_tob_1_numerator,tr_hbips_7_overall_num,16,0.9386973180076629
ts_s_tob_1_numerator,tr_hbips_3_overall_den,16,0.9386973180076629
ts_s_tob_1_numerator,tr_hcp_numerator,8,0.9693486590038314
ts_s_tob_1_numerator,tr_hcp_denominator,11,0.9578544061302682
ts_s_tob_1_numerator,tr_imm_2_denominator,11,0.9578544061302682
ts_s_tob_1_numerator,tr_hbips_5_overall_den,16,0.9386973180076629
ts_s_tob_1_numerator,tr_hbips_6_overall_den,16,0.9386973180076629
ts_s_tob_1_numerator,tr_tob_2_2a__denominator,13,0.9501915708812261
