test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,None,1,0.0
ts_s_fuh_measure_end_date,tr_fuh_measure_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_end_date,0.0,1
ts_s_fuh_measure_end_date,tr_flu_season_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_start_date,0.0,1
ts_s_fuh_measure_end_date,tr_flu_season_end_date,0.0,1
ts_s_fuh_measure_end_date,tr_fuh_measure_end_date,0.0,1
ts_s_tob_2a_percentage,tr_tob_1_percentage,0.08021103415366243,0.9206634163638057
ts_s_tob_2a_percentage,tr_imm_2_percentage,0.08037076582937355,0.920505426062557
ts_s_tob_2a_percentage,tr_fuh_30_percentage,0.08704401185607198,0.9139049309173652
ts_s_tob_2a_percentage,tr_tob_2_percentage,0.08405837257525273,0.9168580211375517
ts_s_tob_2a_percentage,tr_hbips_6_overall_percentage_of_total,0.08010099874533401,0.9207722521800734
ts_s_tob_2a_percentage,tr_zip_code,0.43923110090247475,0.5655573408315697
ts_s_tob_2a_percentage,tr_sub_1_percentage,0.08000412489365782,0.9208680699253096
ts_s_tob_2a_percentage,tr_hbips_7_overall_percentage_of_total,0.08000162498349643,0.9208705425817676
ts_s_hbips_3_overall_num,tr_hbips_6_overall_num,0.14168207367200691,0.8828917959316689
ts_s_hbips_3_overall_num,tr_tob_1_numerator,0.1095102278328376,0.909483636311633
ts_s_hbips_3_overall_num,tr_hbips_7_overall_num,0.13661950812384005,0.8870762911466141
ts_s_hbips_3_overall_num,tr_imm_2_denominator,0.06990064377385947,0.9422231857325348
ts_s_hbips_3_overall_num,tr_imm_2_numerator,0.14439951523464337,0.8806456776132872
ts_s_hbips_3_overall_num,tr_hbips_7_overall_den,0.09832664949035941,0.9187274929323163
ts_s_hbips_3_overall_num,tr_hbips_6_overall_den,0.1061469264745805,0.9122635940832695
ts_s_hbips_3_overall_num,tr_tob_1_denominator,0.11886568049693737,0.9017508284034476
ts_s_hbips_3_overall_num,tr_sub_1_denominator,0.1441373303485256,0.8808623881706029
ts_s_hbips_3_overall_num,tr_sub_1_numerator,0.14025045454471796,0.8840751096746255
ts_s_peoc_yes_count,None,1,0.0
ts_s_hbips_7_overall_num,None,1,0.0
ts_s_fuh_measure_start_date,tr_fuh_measure_start_date,0.0,1
ts_s_fuh_measure_start_date,tr_end_date,0.0,1
ts_s_fuh_measure_start_date,tr_flu_season_start_date,0.0,1
ts_s_fuh_measure_start_date,tr_start_date,0.0,1
ts_s_fuh_measure_start_date,tr_flu_season_end_date,0.0,1
ts_s_fuh_measure_start_date,tr_fuh_measure_end_date,0.0,1
ts_start_date,tr_fuh_measure_start_date,0.0,1
ts_start_date,tr_end_date,0.0,1
ts_start_date,tr_flu_season_start_date,0.0,1
ts_start_date,tr_start_date,0.0,1
ts_start_date,tr_flu_season_end_date,0.0,1
ts_start_date,tr_fuh_measure_end_date,0.0,1
ts_s_peoc_no_count,None,1,0.0
ts_st_no,tr_provider_number,1.2160431201236246,0.0
ts_s_hie_measure_description,tr_hcp_measure_description,0.1739942815152268,0.723194543330945
ts_s_hie_measure_description,tr_hbips_5_measure_description,0.047022122453160266,0.9251930582669398
ts_s_hie_measure_description,tr_sub_1_measure_description,0.02576392827190759,0.9590124694398646
ts_s_hie_measure_description,tr_hie_measure_description,0.0,1.0
ts_s_hie_measure_description,tr_imm_2_measure_description,0.35603540554276336,0.43358745952238587
ts_s_hie_measure_description,tr_tob_1_measure_description,0.02576392827190759,0.9590124694398646
ts_s_hbips_5_measure_description,tr_hcp_measure_description,0.14150862164546726,0.7767906843843999
ts_s_hbips_5_measure_description,tr_hbips_5_measure_description,0.0,1.0
ts_s_hbips_5_measure_description,tr_sub_1_measure_description,0.06151698952322036,0.9029658760678778
ts_s_hbips_5_measure_description,tr_hie_measure_description,0.047022122453160266,0.9258294254475975
ts_s_hbips_5_measure_description,tr_imm_2_measure_description,0.32240801789037443,0.4914481380322471
ts_s_hbips_5_measure_description,tr_tob_1_measure_description,0.06151698952322036,0.9029658760678778
ts_s_peoc_measure_description,tr_hbips_7_measure_description,0.3365252739394175,0.578341592963227
ts_s_peoc_measure_description,tr_peoc_measure_description,0.0,1.0
ts_s_peoc_measure_description,tr_ehr_use_measure_description,0.15492349724944893,0.8058844309134162
ts_s_peoc_measure_description,tr_ehr_use_response,0.20766516318342854,0.7398003398677284
ts_s_peoc_measure_description,tr_hbips_3_measure_description,0.09898535245176429,0.8759736362556285
ts_s_tob_2_numerator,tr_hbips_6_overall_num,0.04542620389158664,0.9427910566216727
ts_s_tob_2_numerator,tr_tob_1_numerator,0.06885971245946355,0.9132793178020548
ts_s_tob_2_numerator,tr_hbips_7_overall_num,0.04999899998999979,0.9370321595388548
ts_s_tob_2_numerator,tr_imm_2_denominator,0.1348764249229642,0.8301390586168225
ts_s_tob_2_numerator,tr_imm_2_numerator,0.13951390611691722,0.8242986982892
ts_s_tob_2_numerator,tr_hbips_7_overall_den,0.08119778322097224,0.8977409736058831
