test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,7,0.9357798165137614
ts_s_hbips_7_overall_den,tr_tob_1_numerator,17,0.8440366972477065
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,6,0.944954128440367
ts_s_hbips_7_overall_den,tr_imm_2_denominator,19,0.8256880733944953
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,3,0.9724770642201834
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,4,0.963302752293578
ts_s_hbips_7_overall_den,tr_tob_1_denominator,19,0.8256880733944953
ts_s_hbips_7_overall_den,tr_sub_1_denominator,18,0.8348623853211009
ts_s_hbips_7_overall_den,tr_sub_1_numerator,16,0.8532110091743119
ts_s_sub_1_percentage,tr_hbips_6_overall_percentage_of_total,23,0.9253246753246753
ts_s_sub_1_percentage,tr_sub_1_footnote,11,0.9642857142857143
ts_s_sub_1_percentage,tr_hcp_footnote,16,0.948051948051948
ts_s_sub_1_percentage,tr_hbips_2_overall_footnote,19,0.9383116883116883
ts_s_sub_1_percentage,tr_fuh_30_percentage,7,0.9772727272727273
ts_s_sub_1_percentage,tr_ehr_use_footnote,16,0.948051948051948
ts_s_sub_1_percentage,tr_tob_2_percentage,6,0.9805194805194806
ts_s_sub_1_percentage,tr_imm_2_percentage,7,0.9772727272727273
ts_s_sub_1_percentage,tr_hie_footnote,16,0.948051948051948
ts_s_sub_1_percentage,tr_hbips_3_overall_footnote,19,0.9383116883116883
ts_s_sub_1_percentage,tr_zip_code,16,0.948051948051948
ts_s_sub_1_percentage,tr_hbips_6_overall_footnote,19,0.9383116883116883
ts_s_sub_1_percentage,tr_hbips_5_overall_percentage_of_total,23,0.9253246753246753
ts_s_sub_1_percentage,tr_sub_1_percentage,3,0.9902597402597403
ts_s_sub_1_percentage,tr_tob_1_footnote,13,0.9577922077922078
ts_s_sub_1_percentage,tr_tob_2a_percentage,7,0.9772727272727273
ts_s_sub_1_percentage,tr_fuh_7_percentage,6,0.9805194805194806
ts_s_sub_1_percentage,tr_tob_1_percentage,5,0.9837662337662337
ts_s_sub_1_percentage,tr_hbips_7_overall_footnote,19,0.9383116883116883
ts_s_sub_1_percentage,tr_imm_2_footnote,15,0.9512987012987013
ts_s_sub_1_percentage,tr_peoc_assessed_footnote,19,0.9383116883116883
ts_s_sub_1_percentage,tr_hbips_7_overall_percentage_of_total,23,0.9253246753246753
ts_s_sub_1_numerator,tr_hbips_6_overall_num,16,0.8415841584158416
ts_s_sub_1_numerator,tr_tob_1_numerator,5,0.9504950495049505
ts_s_sub_1_numerator,tr_hbips_7_overall_num,16,0.8415841584158416
ts_s_sub_1_numerator,tr_imm_2_denominator,11,0.8910891089108911
ts_s_sub_1_numerator,tr_hbips_7_overall_den,16,0.8415841584158416
ts_s_sub_1_numerator,tr_hbips_6_overall_den,16,0.8415841584158416
ts_s_sub_1_numerator,tr_tob_1_denominator,10,0.900990099009901
ts_s_sub_1_numerator,tr_sub_1_denominator,8,0.9207920792079208
ts_s_sub_1_numerator,tr_sub_1_numerator,3,0.9702970297029703
ts_s_tob_1_numerator,tr_hbips_6_overall_num,16,0.8383838383838383
ts_s_tob_1_numerator,tr_tob_1_numerator,3,0.9696969696969697
ts_s_tob_1_numerator,tr_hbips_7_overall_num,16,0.8383838383838383
ts_s_tob_1_numerator,tr_imm_2_denominator,11,0.8888888888888888
ts_s_tob_1_numerator,tr_hbips_7_overall_den,16,0.8383838383838383
ts_s_tob_1_numerator,tr_hbips_6_overall_den,16,0.8383838383838383
ts_s_tob_1_numerator,tr_tob_1_denominator,8,0.9191919191919192
ts_s_tob_1_numerator,tr_sub_1_denominator,9,0.9090909090909091
ts_s_tob_1_numerator,tr_sub_1_numerator,4,0.9595959595959596
ts_s_tob_2a_numerator,tr_hbips_6_overall_num,17,0.8482142857142857
ts_s_tob_2a_numerator,tr_tob_1_numerator,5,0.9553571428571429
ts_s_tob_2a_numerator,tr_hbips_7_overall_num,17,0.8482142857142857
ts_s_tob_2a_numerator,tr_imm_2_denominator,12,0.8928571428571429
ts_s_tob_2a_numerator,tr_hbips_7_overall_den,17,0.8482142857142857
ts_s_tob_2a_numerator,tr_hbips_6_overall_den,17,0.8482142857142857
ts_s_tob_2a_numerator,tr_tob_1_denominator,10,0.9107142857142857
ts_s_tob_2a_numerator,tr_sub_1_denominator,11,0.9017857142857143
ts_s_tob_2a_numerator,tr_sub_1_numerator,6,0.9464285714285714
ts_s_hbips_7_overall_num,tr_hbips_6_overall_num,4,0.963302752293578
ts_s_hbips_7_overall_num,tr_tob_1_numerator,17,0.8440366972477065
ts_s_hbips_7_overall_num,tr_hbips_7_overall_num,3,0.9724770642201834
ts_s_hbips_7_overall_num,tr_imm_2_denominator,19,0.8256880733944953
ts_s_hbips_7_overall_num,tr_hbips_7_overall_den,6,0.944954128440367
ts_s_hbips_7_overall_num,tr_hbips_6_overall_den,7,0.9357798165137614
ts_s_hbips_7_overall_num,tr_tob_1_denominator,19,0.8256880733944953
ts_s_hbips_7_overall_num,tr_sub_1_denominator,18,0.8348623853211009
ts_s_hbips_7_overall_num,tr_sub_1_numerator,16,0.8532110091743119
ts_s_fuh_7_numerator,tr_hbips_6_overall_num,16,0.8490566037735849
ts_s_fuh_7_numerator,tr_tob_1_numerator,7,0.9339622641509434
ts_s_fuh_7_numerator,tr_hbips_7_overall_num,15,0.8584905660377359
ts_s_fuh_7_numerator,tr_imm_2_denominator,11,0.8962264150943396
ts_s_fuh_7_numerator,tr_hbips_7_overall_den,15,0.8584905660377359
ts_s_fuh_7_numerator,tr_hbips_6_overall_den,16,0.8490566037735849
ts_s_fuh_7_numerator,tr_tob_1_denominator,11,0.8962264150943396
ts_s_fuh_7_numerator,tr_sub_1_denominator,10,0.9056603773584906
ts_s_fuh_7_numerator,tr_sub_1_numerator,5,0.9528301886792453
ts_start_date,tr_fuh_measure_start_date,12,0.7894736842105263
ts_start_date,tr_end_date,6,0.8947368421052632
ts_start_date,tr_flu_season_start_date,11,0.8070175438596492
ts_start_date,tr_start_date,1,0.9824561403508771
ts_start_date,tr_flu_season_end_date,13,0.7719298245614035
ts_start_date,tr_fuh_measure_end_date,14,0.7543859649122807
ts_s_peoc_no_count,tr_tob_2a_footnote,13,0.8433734939759037
ts_s_peoc_no_count,tr_fuh_30_footnote,13,0.8433734939759037
ts_s_peoc_no_count,tr_hcp_percentage,13,0.8433734939759037
ts_s_peoc_no_count,tr_hbips_5_overall_footnote,18,0.7831325301204819
ts_s_peoc_no_count,tr_fuh_7_footnote,13,0.8433734939759037
ts_s_peoc_no_count,tr_tob_2_footnote,13,0.8433734939759037
ts_st_no,tr_provider_number,14,0.0
ts_s_imm_2_measure_description,tr_hbips_5_measure_description,6,0.9117647058823529
ts_s_imm_2_measure_description,tr_hospital_name,25,0.6323529411764706
ts_s_imm_2_measure_description,tr_sub_1_measure_description,6,0.9117647058823529
ts_s_imm_2_measure_description,tr_hie_measure_description,7,0.8970588235294118
ts_s_imm_2_measure_description,tr_hbips_6_measure_description,6,0.9117647058823529
ts_s_imm_2_measure_description,tr_imm_2_measure_description,3,0.9558823529411765
ts_s_imm_2_measure_description,tr_hcp_measure_description,8,0.8823529411764706
ts_s_imm_2_measure_description,tr_tob_1_measure_description,7,0.8970588235294118
ts_s_hbips_2_overall_rate_per_1000,None,1,0.0
ts_st_name,None,1,0.0
ts_s_peoc_measure_description,tr_hbips_7_measure_description,7,0.9270833333333334
ts_s_peoc_measure_description,tr_ehr_use_response,19,0.8020833333333334
ts_s_peoc_measure_description,tr_peoc_measure_description,3,0.96875
ts_s_peoc_measure_description,tr_hbips_2_measure_description,7,0.9270833333333334
ts_s_peoc_measure_description,tr_fuh_measure_description,7,0.9270833333333334
ts_s_peoc_measure_description,tr_tob_2_2a_measure_desc,15,0.84375
ts_s_peoc_measure_description,tr_address,23,0.7604166666666666
ts_s_peoc_measure_description,tr_ehr_use_measure_description,8,0.9166666666666666
ts_s_peoc_measure_description,tr_hbips_3_measure_description,7,0.9270833333333334
ts_s_fuh_30_denominator,tr_hbips_6_overall_num,19,0.8442622950819672
ts_s_fuh_30_denominator,tr_tob_1_numerator,13,0.8934426229508197
ts_s_fuh_30_denominator,tr_hbips_7_overall_num,19,0.8442622950819672
ts_s_fuh_30_denominator,tr_imm_2_denominator,8,0.9344262295081968
ts_s_fuh_30_denominator,tr_hbips_7_overall_den,19,0.8442622950819672
ts_s_fuh_30_denominator,tr_hbips_6_overall_den,19,0.8442622950819672
ts_s_fuh_30_denominator,tr_tob_1_denominator,8,0.9344262295081968
ts_s_fuh_30_denominator,tr_sub_1_denominator,6,0.9508196721311475
ts_s_fuh_30_denominator,tr_sub_1_numerator,11,0.9098360655737705
ts_s_hbips_2_overall_num,tr_hbips_6_overall_num,4,0.9636363636363636
ts_s_hbips_2_overall_num,tr_tob_1_numerator,17,0.8454545454545455
ts_s_hbips_2_overall_num,tr_hbips_7_overall_num,4,0.9636363636363636
ts_s_hbips_2_overall_num,tr_imm_2_denominator,18,0.8363636363636364
ts_s_hbips_2_overall_num,tr_hbips_7_overall_den,7,0.9363636363636364
ts_s_hbips_2_overall_num,tr_hbips_6_overall_den,7,0.9363636363636364
ts_s_hbips_2_overall_num,tr_tob_1_denominator,19,0.8272727272727273
ts_s_hbips_2_overall_num,tr_sub_1_denominator,18,0.8363636363636364
ts_s_hbips_2_overall_num,tr_sub_1_numerator,16,0.8545454545454545
ts_s_fuh_7_percentage,tr_hbips_6_overall_percentage_of_total,23,0.9258064516129032
ts_s_fuh_7_percentage,tr_sub_1_footnote,13,0.9580645161290322
ts_s_fuh_7_percentage,tr_hcp_footnote,15,0.9516129032258065
ts_s_fuh_7_percentage,tr_hbips_2_overall_footnote,19,0.9387096774193548
ts_s_fuh_7_percentage,tr_fuh_30_percentage,5,0.9838709677419355
ts_s_fuh_7_percentage,tr_ehr_use_footnote,16,0.9483870967741935
ts_s_fuh_7_percentage,tr_tob_2_percentage,7,0.9774193548387097
ts_s_fuh_7_percentage,tr_imm_2_percentage,7,0.9774193548387097
ts_s_fuh_7_percentage,tr_hie_footnote,15,0.9516129032258065
ts_s_fuh_7_percentage,tr_hbips_3_overall_footnote,19,0.9387096774193548
ts_s_fuh_7_percentage,tr_zip_code,16,0.9483870967741935
ts_s_fuh_7_percentage,tr_hbips_6_overall_footnote,19,0.9387096774193548
