Attribute,Cluster ID
0,tr_state
0,tr_city
0,tr_country_name
0,tr_hie_response
0,tr_peoc_assessed_response
1,ts_state
2,tr_hbips_6_overall_num
2,tr_hbips_7_overall_num
2,tr_hcp_numerator
2,tr_hcp_denominator
2,tr_imm_2_denominator
2,tr_hbips_5_overall_den
2,tr_hbips_6_overall_den
2,tr_tob_2_2a__denominator
2,tr_tob_2_numerator
2,tr_fuh_7_numerator
2,tr_fuh_7_denominator
2,tr_tob_2a_numerator
2,tr_sub_1_denominator
2,tr_fuh_30_numerator
2,tr_tob_1_numerator
2,tr_fuh_30_denominator
2,tr_tob_2_2a_denominator
2,tr_hbips_7_overall_den
2,tr_hbips_5_overall_num
2,tr_imm_2_numerator
2,tr_tob_1_denominator
2,tr_sub_1_numerator
3,tr_hbips_2_overall_den
3,tr_hbips_3_overall_den
4,ts_s_hbips_3_overall_den
4,ts_s_hbips_2_overall_den
4,tr_provider_number
5,ts_s_hbips_5_measure_description
5,ts_s_imm_2_measure_description
5,ts_s_peoc_measure_description
5,tr_hbips_5_measure_description
5,ts_s_sub_1_measure_description
5,tr_hbips_6_measure_description
5,tr_tob_1_measure_description
5,tr_hbips_7_measure_description
5,ts_s_hcp_measure_description
5,tr_ehr_use_response
5,tr_hbips_2_measure_description
5,tr_peoc_measure_description
5,ts_s_ehr_use_measure_description
5,tr_fuh_measure_description
5,tr_tob_2_2a_measure_desc
5,tr_address
5,tr_ehr_use_measure_description
5,ts_tob_2_2a_measure_desc
5,ts_s_fuh_measure_description
5,ts_s_hbips_7_measure_description
5,tr_hcp_measure_description
5,ts_s_hbips_3_measure_description
5,tr_hbips_3_measure_description
5,ts_s_hie_measure_description
5,tr_sub_1_measure_description
5,ts_s_hbips_6_measure_description
5,tr_hospital_name
5,ts_s_hbips_2_measure_description
5,tr_hie_measure_description
5,ts_s_tob_1_measure_description
5,tr_imm_2_measure_description
6,ts_st_name
6,ts_st_no
7,ts_s_hbips_7_overall_den
7,ts_s_sub_1_numerator
7,ts_s_tob_1_numerator
7,ts_s_tob_2a_numerator
7,ts_s_hbips_7_overall_num
7,ts_s_fuh_7_numerator
7,ts_s_fuh_30_denominator
7,ts_s_hbips_2_overall_num
7,ts_s_imm_2_denominator
7,ts_s_hcp_denominator
7,ts_s_tob_2_2a__denominator
7,ts_s_hbips_6_overall_num
7,ts_s_fuh_7_denominator
7,ts_s_hbips_6_overall_den
7,ts_s_tob_1_denominator
7,ts_s_fuh_30_numerator
7,ts_s_sub_1_denominator
7,ts_s_hcp_numerator
7,ts_s_tob_2_2a_denominator
7,ts_s_hbips_3_overall_num
7,ts_s_hbips_5_overall_num
7,ts_s_imm_2_numerator
7,ts_s_hbips_5_overall_den
7,ts_s_tob_2_numerator
8,tr_hbips_3_overall_num
8,tr_hbips_2_overall_num
9,tr_zip_code
10,ts_s_hbips_2_overall_rate_per_1000
10,ts_s_hie_no_percent
10,ts_s_hie_yes_percent
10,ts_s_hbips_3_overall_rate_per_1000
12,ts_s_hie_yes_count
12,ts_s_ehr_certified_percentage
12,ts_s_peoc_yes_count
12,tr_tob_2a_footnote
12,ts_s_ehr_paper_percentage
12,ts_s_hie_no_count
12,tr_fuh_30_footnote
12,ts_s_peoc_yes_percentage
12,ts_s_peoc_no_count
12,tr_hcp_percentage
12,ts_s_ehr_certified_count
12,ts_s_ehr_paper_count
12,tr_hbips_5_overall_footnote
12,ts_s_ehr_non_certified_percentage
12,ts_s_peoc_no_percentage
12,tr_fuh_7_footnote
12,tr_tob_2_footnote
14,tr_fuh_measure_start_date
14,tr_end_date
14,tr_flu_season_start_date
14,tr_start_date
14,tr_flu_season_end_date
14,tr_fuh_measure_end_date
15,tr_hbips_3_overall_rate_per_1000
15,tr_hbips_2_overall_rate_per_1000
17,ts_s_tob_2a_percentage
17,ts_s_hbips_5_overall_percentage_of_total
17,tr_hbips_6_overall_percentage_of_total
17,tr_sub_1_footnote
17,ts_s_fuh_7_percentage
17,tr_hcp_footnote
17,ts_s_hbips_6_overall_percentage_of_total
17,tr_hbips_2_overall_footnote
17,tr_fuh_30_percentage
17,ts_s_hbips_7_overall_percentage_of_total
17,ts_s_tob_1_percentage
17,ts_s_ehr_non_certified_count
17,tr_ehr_use_footnote
17,tr_tob_2_percentage
17,ts_s_sub_1_percentage
17,tr_imm_2_percentage
17,ts_s_tob_2_percentage
17,tr_hie_footnote
17,tr_hbips_3_overall_footnote
17,tr_hbips_5_overall_percentage_of_total
17,tr_hbips_6_overall_footnote
17,tr_sub_1_percentage
17,tr_tob_1_footnote
17,tr_tob_2a_percentage
17,tr_fuh_7_percentage
17,ts_s_fuh_30_percentage
17,tr_tob_1_percentage
17,tr_hbips_7_overall_footnote
17,tr_imm_2_footnote
17,ts_s_hcp_percentage
17,ts_s_imm_2_percentage
17,tr_peoc_assessed_footnote
17,tr_hbips_7_overall_percentage_of_total
19,ts_s_fuh_measure_end_date
19,ts_s_fuh_measure_start_date
19,ts_start_date
19,ts_s_flu_season_start_date
19,ts_s_flu_season_end_date
19,ts_end_date
