Attribute,Cluster ID
0,s_hcp_denominator
0,s_hbips_3_overall_den
0,s_hcp_numerator
0,s_hbips_2_overall_den
1,s_tob_1_denominator
1,s_sub_1_numerator
1,s_sub_1_denominator
1,s_hbips_7_overall_num
1,s_hbips_6_overall_num
1,s_hbips_6_overall_den
1,s_hbips_7_overall_den
2,s_tob_1_numerator
2,s_hbips_2_overall_num
2,s_hbips_3_overall_num
4,st_no
4,s_tob_2a_numerator
4,s_fuh_7_numerator
4,s_fuh_30_numerator
4,s_hbips_5_overall_den
6,hbips_2_overall_den
6,hbips_3_overall_den
11,s_imm_2_denominator
12,s_tob_2_2a__denominator
12,s_tob_2_2a_denominator
12,s_imm_2_numerator
13,s_hbips_5_overall_num
13,zip_code
15,hbips_3_overall_num
15,hbips_2_overall_num
24,s_tob_2_numerator
26,s_fuh_measure_description
26,fuh_measure_description
29,hbips_7_overall_den
29,hbips_6_overall_den
29,tob_1_numerator
29,hcp_denominator
29,hbips_5_overall_den
29,tob_2_2a_denominator
29,hcp_numerator
29,tob_1_denominator
29,imm_2_denominator
29,tob_2_2a__denominator
30,hbips_5_overall_num
30,tob_2a_numerator
30,imm_2_numerator
31,tob_2_numerator
31,hbips_6_overall_num
31,sub_1_denominator
31,hbips_7_overall_num
31,sub_1_numerator
32,provider_number
34,s_hcp_measure_description
34,hbips_6_measure_description
34,hbips_5_measure_description
34,s_hbips_7_measure_description
34,s_hbips_6_measure_description
34,s_ehr_use_measure_description
34,hie_measure_description
34,hcp_measure_description
34,s_hbips_5_measure_description
34,tob_2_2a_measure_desc
34,hbips_7_measure_description
34,s_hie_measure_description
35,s_sub_1_measure_description
35,s_tob_1_measure_description
35,ehr_use_response
35,tob_1_measure_description
35,hbips_3_measure_description
35,s_imm_2_measure_description
35,address
35,sub_1_measure_description
35,imm_2_measure_description
35,st_name
35,s_hbips_3_measure_description
36,hcp_footnote
36,s_flu_season_start_date
36,s_flu_season_end_date
36,hbips_6_overall_footnote
36,hbips_3_overall_footnote
36,s_fuh_measure_start_date
36,tob_2_footnote
36,start_date
36,end_date
36,ehr_use_footnote
36,tob_1_footnote
36,flu_season_start_date
36,fuh_measure_start_date
36,sub_1_footnote
36,fuh_measure_end_date
36,flu_season_end_date
36,imm_2_footnote
36,s_fuh_measure_end_date
36,hbips_7_overall_footnote
36,fuh_30_footnote
36,hbips_2_overall_footnote
36,peoc_assessed_footnote
36,hie_footnote
38,fuh_30_numerator
38,fuh_7_denominator
38,fuh_7_numerator
38,fuh_30_denominator
39,s_ehr_certified_count
39,s_hie_yes_count
39,s_hie_no_count
39,s_peoc_yes_count
39,s_ehr_paper_count
40,s_fuh_30_denominator
40,s_fuh_7_denominator
42,hbips_2_measure_description
42,s_peoc_measure_description
42,ehr_use_measure_description
42,s_hbips_2_measure_description
42,hospital_name
42,peoc_measure_description
43,country_name
43,city
44,hie_response
44,hbips_5_overall_footnote
44,s_hie_no_percent
44,s_hie_yes_percent
44,state
44,hbips_2_overall_rate_per_1000
44,fuh_7_footnote
44,tob_2a_footnote
44,peoc_assessed_response
44,hbips_3_overall_rate_per_1000
45,fuh_7_percentage
45,imm_2_percentage
45,hbips_6_overall_percentage_of_total
45,s_ehr_non_certified_count
45,fuh_30_percentage
45,s_hbips_2_overall_rate_per_1000
45,hbips_7_overall_percentage_of_total
45,sub_1_percentage
45,s_hbips_3_overall_rate_per_1000
45,tob_2_percentage
45,hbips_5_overall_percentage_of_total
45,tob_1_percentage
45,tob_2a_percentage
46,s_ehr_non_certified_percentage
46,s_peoc_no_count
47,hcp_percentage
47,s_tob_2_percentage
47,s_fuh_30_percentage
47,s_peoc_no_percentage
47,s_tob_2a_percentage
47,s_hbips_6_overall_percentage_of_total
47,s_tob_1_percentage
47,s_ehr_certified_percentage
47,s_fuh_7_percentage
47,s_ehr_paper_percentage
47,s_peoc_yes_percentage
47,s_hbips_7_overall_percentage_of_total
47,s_sub_1_percentage
47,s_hcp_percentage
47,s_hbips_5_overall_percentage_of_total
47,s_imm_2_percentage
