test_attribute,train_attribute,distance,probability
s_tob_2_percentage,fuh_7_percentage,[[ 0.99673246]],[[ 0.06178085]]
s_tob_2_percentage,imm_2_percentage,[[ 0.97831534]],[[ 0.06063929]]
s_tob_2_percentage,hbips_6_overall_percentage_of_total,[[ 0.92193472]],[[ 0.05714463]]
s_tob_2_percentage,ehr_use_footnote,[[ 0.89594743]],[[ 0.05553385]]
s_tob_2_percentage,tob_1_footnote,[[ 0.70726052]],[[ 0.0438384]]
s_tob_2_percentage,fuh_30_percentage,[[ 0.99840508]],[[ 0.06188452]]
s_tob_2_percentage,hbips_6_overall_footnote,[[ 0.85080676]],[[ 0.05273588]]
s_tob_2_percentage,hbips_7_overall_footnote,[[ 0.82419292]],[[ 0.05108626]]
s_tob_2_percentage,hbips_3_overall_footnote,[[ 0.7988447]],[[ 0.0495151]]
s_tob_2_percentage,hbips_7_overall_percentage_of_total,[[ 0.95272706]],[[ 0.05905325]]
s_tob_2_percentage,hbips_2_overall_footnote,[[ 0.82264575]],[[ 0.05099037]]
s_tob_2_percentage,sub_1_percentage,[[ 0.94708466]],[[ 0.05870351]]
s_tob_2_percentage,sub_1_footnote,[[ 0.65087632]],[[ 0.04034352]]
s_tob_2_percentage,tob_2_percentage,[[ 0.99619399]],[[ 0.06174747]]
s_tob_2_percentage,peoc_assessed_footnote,[[ 0.89594743]],[[ 0.05553385]]
s_tob_2_percentage,hie_footnote,[[ 0.89594743]],[[ 0.05553385]]
s_tob_2_percentage,hbips_5_overall_percentage_of_total,[[ 0.99995111]],[[ 0.06198035]]
s_tob_2_percentage,tob_2a_percentage,[[ 0.99954281]],[[ 0.06195504]]
s_tob_1_measure_description,imm_2_measure_description,[[ 0.96892703]],[[ 0.10970396]]
s_tob_1_measure_description,peoc_measure_description,[[ 0.99467809]],[[ 0.11261955]]
s_tob_1_measure_description,hbips_5_measure_description,[[ 0.95667284]],[[ 0.10831652]]
s_tob_1_measure_description,tob_1_measure_description,[[ 0.99907241]],[[ 0.11311709]]
s_tob_1_measure_description,hbips_3_measure_description,[[ 0.99965816]],[[ 0.11318341]]
s_tob_1_measure_description,hie_measure_description,[[ 0.98967718]],[[ 0.11205334]]
s_tob_1_measure_description,hcp_measure_description,[[ 0.98540034]],[[ 0.11156911]]
s_tob_1_measure_description,sub_1_measure_description,[[ 0.99907241]],[[ 0.11311709]]
s_tob_1_measure_description,hbips_7_measure_description,[[ 0.9390387]],[[ 0.10631994]]
s_ehr_use_measure_description,ehr_use_measure_description,[[ 0.9934966]],[[ 0.50531874]]
s_ehr_use_measure_description,ehr_use_response,[[ 0.97258246]],[[ 0.49468126]]
s_ehr_certified_count,hcp_footnote,[[ 0.86744863]],[[ 0.11607142]]
s_ehr_certified_count,hbips_5_overall_footnote,[[ 0.98541556]],[[ 0.13185632]]
s_ehr_certified_count,hcp_percentage,[[ 0.8407143]],[[ 0.11249416]]
s_ehr_certified_count,tob_2_footnote,[[ 0.9828004]],[[ 0.13150639]]
s_ehr_certified_count,imm_2_footnote,[[ 0.85108657]],[[ 0.11388205]]
s_ehr_certified_count,fuh_30_footnote,[[ 0.98477551]],[[ 0.13177068]]
s_ehr_certified_count,fuh_7_footnote,[[ 0.97917804]],[[ 0.13102169]]
s_ehr_certified_count,tob_2a_footnote,[[ 0.98198513]],[[ 0.1313973]]
s_hbips_7_measure_description,ehr_use_measure_description,[[ 0.95943019]],[[ 0.50529104]]
s_hbips_7_measure_description,ehr_use_response,[[ 0.93933727]],[[ 0.49470896]]
s_hie_yes_percent,tob_1_percentage,[[ 0.62320997]],[[ 1.]]
s_ehr_certified_percentage,hcp_footnote,[[ 0.82403509]],[[ 0.1242111]]
s_ehr_certified_percentage,hbips_5_overall_footnote,[[ 0.82837889]],[[ 0.12486587]]
s_ehr_certified_percentage,hcp_percentage,[[ 0.91932589]],[[ 0.13857478]]
s_ehr_certified_percentage,tob_2_footnote,[[ 0.83249561]],[[ 0.1254864]]
s_ehr_certified_percentage,imm_2_footnote,[[ 0.82160233]],[[ 0.1238444]]
s_ehr_certified_percentage,fuh_30_footnote,[[ 0.81732318]],[[ 0.12319938]]
s_ehr_certified_percentage,fuh_7_footnote,[[ 0.7911346]],[[ 0.11925184]]
s_ehr_certified_percentage,tob_2a_footnote,[[ 0.7998544]],[[ 0.12056622]]
s_hie_yes_count,hcp_footnote,[[ 0.87168274]],[[ 0.11666311]]
s_hie_yes_count,hbips_5_overall_footnote,[[ 0.98184975]],[[ 0.1314075]]
s_hie_yes_count,hcp_percentage,[[ 0.85006232]],[[ 0.11376951]]
s_hie_yes_count,tob_2_footnote,[[ 0.98030277]],[[ 0.13120046]]
s_hie_yes_count,imm_2_footnote,[[ 0.85588678]],[[ 0.11454904]]
s_hie_yes_count,fuh_30_footnote,[[ 0.98114399]],[[ 0.13131304]]
s_hie_yes_count,fuh_7_footnote,[[ 0.97382247]],[[ 0.13033316]]
s_hie_yes_count,tob_2a_footnote,[[ 0.97704305]],[[ 0.13076419]]
