test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,7,0.9222222222222223
ts_s_hbips_7_overall_den,tr_tob_1_numerator,17,0.8111111111111111
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,6,0.9333333333333333
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,3,0.9666666666666667
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,4,0.9555555555555556
ts_s_hbips_7_overall_den,tr_tob_1_denominator,19,0.7888888888888889
ts_s_hbips_7_overall_den,tr_sub_1_denominator,18,0.8
ts_s_hbips_7_overall_den,tr_sub_1_numerator,16,0.8222222222222222
ts_s_fuh_measure_end_date,tr_hbips_6_overall_num,20,0.9775784753363229
ts_s_fuh_measure_end_date,tr_hbips_7_overall_num,20,0.9775784753363229
ts_s_fuh_measure_end_date,tr_hbips_3_overall_den,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_end_date,14,0.984304932735426
ts_s_fuh_measure_end_date,tr_hbips_6_overall_percentage_of_total,28,0.968609865470852
ts_s_fuh_measure_end_date,tr_flu_season_end_date,9,0.9899103139013453
ts_s_fuh_measure_end_date,tr_sub_1_footnote,17,0.9809417040358744
ts_s_fuh_measure_end_date,tr_hcp_denominator,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_hbips_2_overall_den,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_hcp_footnote,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_hbips_2_overall_footnote,20,0.9775784753363229
ts_s_fuh_measure_end_date,tr_fuh_30_percentage,14,0.984304932735426
ts_s_fuh_measure_end_date,tr_imm_2_denominator,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_hospital_name,18,0.9798206278026906
ts_s_fuh_measure_end_date,tr_hbips_6_overall_den,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_fuh_measure_end_date,3,0.9966367713004485
ts_s_fuh_measure_end_date,tr_ehr_use_footnote,17,0.9809417040358744
ts_s_fuh_measure_end_date,tr_tob_2_percentage,16,0.9820627802690582
ts_s_fuh_measure_end_date,tr_hcp_numerator,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_hcp_measure_description,15,0.9831838565022422
ts_s_fuh_measure_end_date,tr_imm_2_percentage,16,0.9820627802690582
ts_s_fuh_measure_end_date,tr_hie_footnote,18,0.9798206278026906
ts_s_fuh_measure_end_date,tr_ehr_use_response,18,0.9798206278026906
ts_s_fuh_measure_end_date,tr_hbips_3_overall_footnote,20,0.9775784753363229
ts_s_fuh_measure_end_date,tr_peoc_measure_description,15,0.9831838565022422
ts_s_fuh_measure_end_date,tr_hbips_5_overall_percentage_of_total,28,0.968609865470852
ts_s_fuh_measure_end_date,tr_hbips_6_overall_footnote,20,0.9775784753363229
ts_s_fuh_measure_end_date,tr_zip_code,20,0.9775784753363229
ts_s_fuh_measure_end_date,tr_sub_1_percentage,15,0.9831838565022422
ts_s_fuh_measure_end_date,tr_sub_1_denominator,18,0.9798206278026906
ts_s_fuh_measure_end_date,tr_address,20,0.9775784753363229
ts_s_fuh_measure_end_date,tr_tob_1_footnote,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_tob_2a_percentage,17,0.9809417040358744
ts_s_fuh_measure_end_date,tr_fuh_7_percentage,14,0.984304932735426
ts_s_fuh_measure_end_date,tr_ehr_use_measure_description,16,0.9820627802690582
ts_s_fuh_measure_end_date,tr_hbips_3_measure_description,17,0.9809417040358744
ts_s_fuh_measure_end_date,tr_tob_1_percentage,16,0.9820627802690582
ts_s_fuh_measure_end_date,tr_tob_1_numerator,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_hbips_7_overall_footnote,20,0.9775784753363229
ts_s_fuh_measure_end_date,tr_imm_2_footnote,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_fuh_measure_start_date,8,0.9910313901345291
ts_s_fuh_measure_end_date,tr_hbips_7_overall_den,19,0.9786995515695067
ts_s_fuh_measure_end_date,tr_sub_1_measure_description,14,0.984304932735426
