test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,7,0.9533333333333334
ts_s_hbips_7_overall_den,tr_tob_1_numerator,17,0.8866666666666667
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,6,0.96
ts_s_hbips_7_overall_den,tr_hbips_3_overall_den,4,0.9733333333333334
ts_s_hbips_7_overall_den,tr_imm_2_denominator,19,0.8733333333333333
ts_s_hbips_7_overall_den,tr_tob_1_denominator,19,0.8733333333333333
ts_s_hbips_7_overall_den,tr_hbips_2_overall_den,4,0.9733333333333334
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,3,0.98
ts_s_hbips_7_overall_den,tr_hcp_numerator,16,0.8933333333333333
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,4,0.9733333333333334
ts_s_hbips_7_overall_den,tr_imm_2_numerator,17,0.8866666666666667
ts_s_hbips_7_overall_den,tr_sub_1_denominator,18,0.88
ts_s_hbips_7_overall_den,tr_sub_1_numerator,16,0.8933333333333333
ts_s_fuh_measure_end_date,tr_hbips_6_overall_num,20,0.9773499433748585
ts_s_fuh_measure_end_date,tr_hbips_7_overall_num,20,0.9773499433748585
ts_s_fuh_measure_end_date,tr_hbips_3_overall_den,19,0.9784824462061155
ts_s_fuh_measure_end_date,tr_hbips_7_measure_description,17,0.9807474518686297
ts_s_fuh_measure_end_date,tr_end_date,14,0.984144960362401
ts_s_fuh_measure_end_date,tr_hcp_numerator,19,0.9784824462061155
ts_s_fuh_measure_end_date,tr_flu_season_end_date,9,0.9898074745186863
ts_s_fuh_measure_end_date,tr_hcp_percentage,16,0.9818799546998868
ts_s_fuh_measure_end_date,tr_hbips_5_measure_description,17,0.9807474518686297
ts_s_fuh_measure_end_date,tr_fuh_measure_start_date,8,0.9909399773499433
ts_s_fuh_measure_end_date,tr_hbips_2_overall_footnote,20,0.9773499433748585
ts_s_fuh_measure_end_date,tr_fuh_30_percentage,14,0.984144960362401
ts_s_fuh_measure_end_date,tr_imm_2_denominator,19,0.9784824462061155
ts_s_fuh_measure_end_date,tr_hbips_6_overall_den,19,0.9784824462061155
ts_s_fuh_measure_end_date,tr_imm_2_numerator,19,0.9784824462061155
ts_s_fuh_measure_end_date,tr_fuh_measure_end_date,3,0.9966024915062288
ts_s_fuh_measure_end_date,tr_ehr_use_footnote,17,0.9807474518686297
ts_s_fuh_measure_end_date,tr_tob_2_percentage,16,0.9818799546998868
ts_s_fuh_measure_end_date,tr_hbips_6_overall_percentage_of_total,28,0.9682899207248018
ts_s_fuh_measure_end_date,tr_hcp_measure_description,15,0.9830124575311439
