test_attribute,train_attribute,distance,probability
ts_s_hbips_7_overall_den,tr_hbips_6_overall_num,7,0.9345794392523364
ts_s_hbips_7_overall_den,tr_tob_1_numerator,17,0.8411214953271028
ts_s_hbips_7_overall_den,tr_hbips_7_overall_num,6,0.9439252336448598
ts_s_hbips_7_overall_den,tr_tob_1_denominator,19,0.822429906542056
ts_s_hbips_7_overall_den,tr_hbips_7_overall_den,3,0.9719626168224299
ts_s_hbips_7_overall_den,tr_hbips_6_overall_den,4,0.9626168224299065
ts_s_hbips_7_overall_den,tr_imm_2_numerator,17,0.8411214953271028
ts_s_hbips_7_overall_den,tr_sub_1_denominator,18,0.8317757009345794
ts_s_hbips_7_overall_den,tr_sub_1_numerator,16,0.8504672897196262
ts_s_fuh_measure_end_date,tr_hbips_6_overall_num,20,0.9774520856820744
ts_s_fuh_measure_end_date,tr_hbips_7_overall_num,20,0.9774520856820744
ts_s_fuh_measure_end_date,tr_end_date,14,0.9842164599774521
ts_s_fuh_measure_end_date,tr_hbips_6_overall_percentage_of_total,28,0.9684329199549042
ts_s_fuh_measure_end_date,tr_flu_season_end_date,9,0.9898534385569335
ts_s_fuh_measure_end_date,tr_sub_1_footnote,17,0.9808342728297632
ts_s_fuh_measure_end_date,tr_hcp_denominator,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_hcp_footnote,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_hbips_2_overall_footnote,20,0.9774520856820744
ts_s_fuh_measure_end_date,tr_fuh_30_percentage,14,0.9842164599774521
ts_s_fuh_measure_end_date,tr_imm_2_denominator,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_hospital_name,18,0.979706877113867
ts_s_fuh_measure_end_date,tr_hbips_6_overall_den,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_imm_2_numerator,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_fuh_measure_end_date,3,0.9966178128523112
ts_s_fuh_measure_end_date,tr_ehr_use_footnote,17,0.9808342728297632
ts_s_fuh_measure_end_date,tr_tob_2_percentage,16,0.9819616685456596
ts_s_fuh_measure_end_date,tr_hcp_numerator,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_hcp_measure_description,15,0.9830890642615558
ts_s_fuh_measure_end_date,tr_imm_2_percentage,16,0.9819616685456596
ts_s_fuh_measure_end_date,tr_hie_footnote,18,0.979706877113867
ts_s_fuh_measure_end_date,tr_provider_number,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_ehr_use_response,18,0.979706877113867
ts_s_fuh_measure_end_date,tr_hbips_3_overall_footnote,20,0.9774520856820744
ts_s_fuh_measure_end_date,tr_peoc_measure_description,15,0.9830890642615558
ts_s_fuh_measure_end_date,tr_hbips_5_overall_percentage_of_total,28,0.9684329199549042
ts_s_fuh_measure_end_date,tr_hbips_6_overall_footnote,20,0.9774520856820744
ts_s_fuh_measure_end_date,tr_zip_code,20,0.9774520856820744
ts_s_fuh_measure_end_date,tr_sub_1_percentage,15,0.9830890642615558
ts_s_fuh_measure_end_date,tr_sub_1_denominator,18,0.979706877113867
ts_s_fuh_measure_end_date,tr_tob_1_footnote,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_tob_2a_percentage,17,0.9808342728297632
ts_s_fuh_measure_end_date,tr_fuh_7_percentage,14,0.9842164599774521
ts_s_fuh_measure_end_date,tr_ehr_use_measure_description,16,0.9819616685456596
ts_s_fuh_measure_end_date,tr_hbips_3_measure_description,17,0.9808342728297632
ts_s_fuh_measure_end_date,tr_tob_1_percentage,16,0.9819616685456596
ts_s_fuh_measure_end_date,tr_tob_1_numerator,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_hbips_7_overall_footnote,20,0.9774520856820744
ts_s_fuh_measure_end_date,tr_imm_2_footnote,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_fuh_measure_start_date,8,0.9909808342728298
ts_s_fuh_measure_end_date,tr_hbips_7_overall_den,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_sub_1_measure_description,14,0.9842164599774521
ts_s_fuh_measure_end_date,tr_flu_season_start_date,14,0.9842164599774521
ts_s_fuh_measure_end_date,tr_tob_1_denominator,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_tob_1_measure_description,15,0.9830890642615558
ts_s_fuh_measure_end_date,tr_start_date,15,0.9830890642615558
ts_s_fuh_measure_end_date,tr_hie_measure_description,15,0.9830890642615558
ts_s_fuh_measure_end_date,tr_sub_1_numerator,17,0.9808342728297632
ts_s_fuh_measure_end_date,tr_imm_2_measure_description,15,0.9830890642615558
ts_s_fuh_measure_end_date,tr_peoc_assessed_footnote,19,0.9785794813979707
ts_s_fuh_measure_end_date,tr_hbips_7_overall_percentage_of_total,28,0.9684329199549042
ts_s_sub_1_numerator,tr_hbips_6_overall_num,16,0.9615384615384616
ts_s_sub_1_numerator,tr_hbips_7_overall_num,16,0.9615384615384616
ts_s_sub_1_numerator,tr_hbips_6_overall_percentage_of_total,29,0.9302884615384616
ts_s_sub_1_numerator,tr_hbips_2_overall_footnote,19,0.9543269230769231
ts_s_sub_1_numerator,tr_fuh_30_percentage,16,0.9615384615384616
ts_s_sub_1_numerator,tr_hbips_6_overall_den,16,0.9615384615384616
ts_s_sub_1_numerator,tr_imm_2_numerator,7,0.9831730769230769
ts_s_sub_1_numerator,tr_ehr_use_footnote,16,0.9615384615384616
ts_s_sub_1_numerator,tr_tob_2_percentage,15,0.9639423076923077
ts_s_sub_1_numerator,tr_imm_2_percentage,16,0.9615384615384616
ts_s_sub_1_numerator,tr_hie_footnote,16,0.9615384615384616
ts_s_sub_1_numerator,tr_hbips_3_overall_footnote,19,0.9543269230769231
ts_s_sub_1_numerator,tr_hbips_5_overall_percentage_of_total,29,0.9302884615384616
ts_s_sub_1_numerator,tr_hbips_6_overall_footnote,19,0.9543269230769231
ts_s_sub_1_numerator,tr_sub_1_percentage,12,0.9711538461538461
ts_s_sub_1_numerator,tr_sub_1_denominator,8,0.9807692307692307
ts_s_sub_1_numerator,tr_tob_2a_percentage,16,0.9615384615384616
ts_s_sub_1_numerator,tr_fuh_7_percentage,15,0.9639423076923077
ts_s_sub_1_numerator,tr_tob_1_percentage,14,0.9663461538461539
ts_s_sub_1_numerator,tr_tob_1_numerator,5,0.9879807692307693
ts_s_sub_1_numerator,tr_hbips_7_overall_footnote,19,0.9543269230769231
ts_s_sub_1_numerator,tr_hbips_7_overall_den,16,0.9615384615384616
ts_s_sub_1_numerator,tr_tob_1_denominator,10,0.9759615384615384
ts_s_sub_1_numerator,tr_sub_1_numerator,3,0.9927884615384616
ts_s_sub_1_numerator,tr_peoc_assessed_footnote,20,0.9519230769230769
ts_s_sub_1_numerator,tr_hbips_7_overall_percentage_of_total,29,0.9302884615384616
ts_s_tob_1_numerator,tr_hbips_6_overall_num,16,0.9606879606879607
ts_s_tob_1_numerator,tr_hbips_7_overall_num,16,0.9606879606879607
ts_s_tob_1_numerator,tr_hbips_6_overall_percentage_of_total,28,0.9312039312039312
ts_s_tob_1_numerator,tr_hbips_2_overall_footnote,19,0.9533169533169533
ts_s_tob_1_numerator,tr_fuh_30_percentage,17,0.9582309582309583
ts_s_tob_1_numerator,tr_hbips_6_overall_den,16,0.9606879606879607
ts_s_tob_1_numerator,tr_imm_2_numerator,7,0.9828009828009828
ts_s_tob_1_numerator,tr_ehr_use_footnote,16,0.9606879606879607
ts_s_tob_1_numerator,tr_tob_2_percentage,13,0.9680589680589681
ts_s_tob_1_numerator,tr_imm_2_percentage,16,0.9606879606879607
ts_s_tob_1_numerator,tr_hie_footnote,16,0.9606879606879607
ts_s_tob_1_numerator,tr_hbips_3_overall_footnote,19,0.9533169533169533
ts_s_tob_1_numerator,tr_hbips_5_overall_percentage_of_total,28,0.9312039312039312
ts_s_tob_1_numerator,tr_hbips_6_overall_footnote,19,0.9533169533169533
ts_s_tob_1_numerator,tr_sub_1_percentage,13,0.9680589680589681
ts_s_tob_1_numerator,tr_sub_1_denominator,9,0.9778869778869779
ts_s_tob_1_numerator,tr_tob_2a_percentage,14,0.9656019656019657
ts_s_tob_1_numerator,tr_fuh_7_percentage,16,0.9606879606879607
ts_s_tob_1_numerator,tr_tob_1_percentage,12,0.9705159705159705
ts_s_tob_1_numerator,tr_tob_1_numerator,3,0.9926289926289926
ts_s_tob_1_numerator,tr_hbips_7_overall_footnote,19,0.9533169533169533
ts_s_tob_1_numerator,tr_hbips_7_overall_den,16,0.9606879606879607
ts_s_tob_1_numerator,tr_tob_1_denominator,8,0.9803439803439803
ts_s_tob_1_numerator,tr_sub_1_numerator,4,0.9901719901719902
ts_s_tob_1_numerator,tr_peoc_assessed_footnote,19,0.9533169533169533
ts_s_tob_1_numerator,tr_hbips_7_overall_percentage_of_total,28,0.9312039312039312
ts_s_tob_2a_numerator,tr_hbips_6_overall_num,17,0.9599056603773585
ts_s_tob_2a_numerator,tr_hbips_7_overall_num,17,0.9599056603773585
ts_s_tob_2a_numerator,tr_hbips_6_overall_percentage_of_total,27,0.9363207547169812
ts_s_tob_2a_numerator,tr_hbips_2_overall_footnote,19,0.9551886792452831
ts_s_tob_2a_numerator,tr_fuh_30_percentage,17,0.9599056603773585
ts_s_tob_2a_numerator,tr_hbips_6_overall_den,17,0.9599056603773585
ts_s_tob_2a_numerator,tr_imm_2_numerator,7,0.9834905660377359
ts_s_tob_2a_numerator,tr_ehr_use_footnote,17,0.9599056603773585
ts_s_tob_2a_numerator,tr_tob_2_percentage,13,0.9693396226415094
