Attribute,Cluster ID
s_sub_1_numerator,0
s_tob_2_2a__denominator,0
s_imm_2_denominator,0
s_tob_2_2a_denominator,0
s_imm_2_numerator,0
s_tob_1_numerator,1
s_hbips_3_overall_num,1
s_hbips_2_overall_num,1
s_hbips_7_overall_den,1
s_sub_1_denominator,1
s_hbips_6_overall_num,1
s_hbips_6_overall_den,1
s_tob_1_denominator,1
s_hbips_7_overall_num,1
s_hbips_2_measure_description,4
s_tob_2a_numerator,5
s_hbips_5_overall_num,5
s_hbips_5_overall_den,5
s_fuh_7_numerator,5
s_fuh_30_numerator,5
s_fuh_7_denominator,5
s_fuh_30_denominator,5
s_tob_2_numerator,5
s_flu_season_start_date,6
s_tob_2_percentage,6
s_hbips_2_overall_rate_per_1000,6
s_ehr_certified_percentage,6
s_ehr_paper_percentage,6
s_flu_season_end_date,6
s_hbips_3_overall_rate_per_1000,6
s_tob_2a_percentage,6
s_ehr_certified_count,6
s_imm_2_percentage,6
s_fuh_measure_start_date,6
s_peoc_no_count,6
s_fuh_7_percentage,6
s_tob_1_percentage,6
state,6
s_hbips_7_overall_percentage_of_total,6
s_hcp_percentage,6
s_hbips_5_overall_percentage_of_total,6
s_hie_yes_count,6
end_date,6
s_peoc_no_percentage,6
s_peoc_yes_count,6
s_sub_1_percentage,6
s_ehr_non_certified_percentage,6
s_ehr_non_certified_count,6
s_hbips_6_overall_percentage_of_total,6
start_date,6
s_fuh_measure_end_date,6
s_hie_no_count,6
s_peoc_yes_percentage,6
s_fuh_30_percentage,6
s_ehr_paper_count,6
s_tob_1_measure_description,7
s_hie_no_percent,7
s_sub_1_measure_description,7
s_hie_yes_percent,7
s_hbips_3_measure_description,7
s_imm_2_measure_description,7
s_hbips_7_measure_description,8
tob_2_2a_measure_desc,8
s_peoc_measure_description,8
s_hcp_measure_description,8
s_ehr_use_measure_description,8
s_fuh_measure_description,8
s_hbips_6_measure_description,8
s_hbips_5_measure_description,8
s_hie_measure_description,8
